"Sl.No"|"Data entry operator "|"Cross Check D/O"|"Starting time of the visit"|"Ending time of the visit"|"Year of establishment of the anganwadi centre"|"date"|"District"|"Project"|"Circle"|"KLP ID"|"code"|"Ang Name"|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60||62|63|64|65|66|67|68|69|70
1|"MUNIRATHNA"|"MOHSINA"|"01:00:00"|"02:00:00"|1980||" BANGALORE"|"BANGALORE CENTRAL"|"KITHURU RANI CHANNAMMA 3RD CIRCLE"|34047||"ANANDA PURA 1"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
2|"MUNIRATHNA"|"MOHSINA"|"11:00:00"|"12:00:00"|1980||" BANGALORE"|"BANGALORE CENTRAL"|"KITHURU RANI CHANNAMMA 3RD CIRCLE"|31449||"ANANDA PURAM 2"|"YES"|"NO"|"NO"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
3|"MUNIRATHNA"|"MOHSINA"|"11:00:00"|"12:00:00"|1982||" BANGALORE"|"BANGALORE CENTRAL"|"KITHURU RANI CHANNAMMA 3RD CIRCLE"|31434||"ANJANAPPA GARDEN 2"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"NO"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
4|"MUNIRATHNA"|"MOHSINA"|"12:00:00"|"01:00:00"|"06/06/84"||" BANGALORE"|"BANGALORE CENTRAL"|"KITHURU RANI CHANNAMMA 3RD CIRCLE"|31440||"ANJANAPPA GARDEN 3"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
5|"MUNIRATHNA"|"MOHSINA"|"09:45:00"|"11:00:00"|1980||" BANGALORE"|"BANGALORE CENTRAL"|"KITHURU RANI CHANNAMMA 3RD CIRCLE"|31472||"ANJANNAPPA GARDEN 1"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"NO"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
6|"MUNIRATHNA"|"MOHSINA"|"11:30:00"|"12:30:00"|1982||" BANGALORE"|"BANGALORE CENTRAL"|"KITHURU RANI CHANNAMMA 3RD CIRCLE"|31381||"CHALYAVADI PALYA 1"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
7|"MUNIRATHNA"|"MOHSINA"|"12:30:00"|"12:30:00"|1982||" BANGALORE"|"BANGALORE CENTRAL"|"KITHURU RANI CHANNAMMA 3RD CIRCLE"|31378||"CHELUVADI PALLYA 2 CENTER"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
8|"MUNIRATHNA"|"MOHSINA"|"10:00:00"|"11:30:00"|1983||" BANGALORE"|"BANGALORE CENTRAL"|"KITHURU RANI CHANNAMMA 3RD CIRCLE"|31397||"VELUMURUGA PURA"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
9|"MUNIRATHNA"|"MOHSINA"|"10:15:00"|"10:45:00"|2007||" BANGALORE"|"BANGALORE CENTRAL"|"KUVEMPUNAGAR 4TH CIRCLE"|30444||"AMAR JYOTHI NAGAR"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
10|"MUNIRATHNA"|"MOHSINA"|"01:00:00"|"01:45:00"|1981||" BANGALORE"|"BANGALORE CENTRAL"|"KUVEMPUNAGAR 4TH CIRCLE"|34000||"BHOVECOLONY"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
11|"MUNIRATHNA"|"MOHSINA"|"11:00:00"|"11:30:00"|1981||" BANGALORE"|"BANGALORE CENTRAL"|"KUVEMPUNAGAR 4TH CIRCLE"|30442||"KANAKA NAGAR"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NILL"|"YES"|"NO"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
12|"MUNIRATHNA"|"MOHSINA"|"12:10:00"|"12:45:00"|1986||" BANGALORE"|"BANGALORE CENTRAL"|"KUVEMPUNAGAR 4TH CIRCLE"|33995||"KANTEERAVA COLONY"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
13|"MUNIRATHNA"|"MOHSINA"|"12:15:00"|"12:45:00"|"14/06/92"||" BANGALORE"|"BANGALORE CENTRAL"|"KUVEMPUNAGAR 4TH CIRCLE"|30835||"LAKSHMANRAO NAGAR"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
14|"MUNIRATHNA"|"MOHSINA"|"11:30:00"|"11:45:00"|"06/06/84"||" BANGALORE"|"BANGALORE CENTRAL"|"KUVEMPUNAGAR 4TH CIRCLE"|30774||"OKLIPURA 2"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
