SL NO |DIST|PROJ|CIRC|CENTREID|CENTRE CODE|CENTRE|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70
1|Bangalore|Bangalore central |Netravathi|29607||BADAMAKAN 1|1|0|1|1|1|0|0|0|0|0|0|0|1|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|1|1|1|0|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
2|Bangalore|Bangalore central |Netravathi|30300||BADAMAKAN 2|1|0|1|1|1|0|0|0|0|0|0|0|1|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|1|1|1|0|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
3|Bangalore|Bangalore central |Netravathi|30338||Y M SHALLE|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|0|0|1|1|1|0|0|0|0|1|0|0|0|0|0|0|1|1|0|0|1|1|1|1|0|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
4|Bangalore|Bangalore central |Netravathi|30327||KUMBARAGUNDI|1|0|0|0|1|0|1|1|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|0|0|1|1|1|1|0|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
5|Bangalore|Bangalore central |Netravathi|30299||APPAJAPPA GARDEN|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
6|Bangalore|Bangalore central |Netravathi|29611||RAJGOPAL GARDEN|1|0|1|1|1|1|1|1|0|0|1|1|1|1|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
7|Bangalore|Bangalore central |Netravathi|29629||HAMID KHAN GARDEN|1|0|0|0|1|0|1|0|1|1|1|0|0|0|1|0|0|0|1|1|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|1|0|0|0|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
8|Bangalore|Bangalore central |Netravathi||AN002867|SAMPANGI RAM NAGAR|1|0|1|1|0|0|1|0|1|1|0|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|0|0|1|1|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|0|0
9|Bangalore|Bangalore central |Netravathi||AN00447|SUDHAMNAGARA|1|0|1|1|0|0|1|0|1|1|0|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|0|0|1|1|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|0|0
10|Bangalore|Bangalore central |Netravathi|34078||PRIYADARSHI BADAVANE|1|0|1|0|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|0|0|1|0|0|1|1|1|1|0|0|1|0|1|1|1|1|1|0|0|0|0|0|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
11|Bangalore|Bangalore central |Netravathi||AN002870|MUNNESHVARA NAGAR|1|0|0|0|0|1|1|1|1|1|1|1|0|0|0|0|0|1|1|1|0|0|0|1|1|1|0|0|0|0|0|0|0|1|0|1|1|0|0|1|0|1|1|1|1|1|0|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|0|0
12|Bangalore|Bangalore central |Netravathi||AN00373|TIPPUNGAR|1|0|1|1|0|1|1|1|0|0|1|0|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|1|0|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
