Not in KLP ID dict |3774
Not in CODE dict |AN001203
Not in CODE dict |AN001221
Not in CODE dict |NO CODE
Not in CODE dict |AN001512
Not in CODE dict |AN001583
Not in CODE dict |AN00504
Not in KLP ID dict |30458
Not in CODE dict |AN001697
Not in CODE dict |AN00461
Not in CODE dict |AK00494
Not in CODE dict |NO CODE
Not in CODE dict |AN00537
Not in KLP ID dict |31126
Not in CODE dict |NO CODE 
Not in KLP ID dict |31483
Not in CODE dict |NO CODE 
Not in CODE dict |NO CODE 
Not in CODE dict |AN001662
Not in KLP ID dict |31462
Not in CODE dict |AN001926
Not in CODE dict |AN001741
Not in CODE dict |AN001032
Not in CODE dict |AN001026
Not in CODE dict |AN001822
Not in CODE dict |AN002197
Not in KLP ID dict |30793
In neither dict ||
Not in CODE dict |AN0077
Not in CODE dict |AN002075
Not in CODE dict |AN002026
Not in KLP ID dict |33595
In neither dict ||
Not in CODE dict |AN00941
Not in CODE dict |AN001903
Not in CODE dict |AN0085
Not in CODE dict |33607
Not in CODE dict |AN00930
Not in CODE dict |AN001893
In neither dict ||
Not in CODE dict |AN002005
Not in KLP ID dict |30921
Not in CODE dict |AN001034
Not in CODE dict |AN001046
Not in CODE dict |AN0041495
Not in CODE dict |AN001867
Not in CODE dict |AN00351
Not in CODE dict |AN0011490
Not in CODE dict |AN0076
Not in CODE dict |AN0000818
Not in CODE dict |AN001281
Not in CODE dict |33969
Not in CODE dict |AN001076
Not in CODE dict |AN00282
Not in CODE dict |AN00127
Not in CODE dict |AK002345
Not in CODE dict |AK002325
Not in CODE dict |AN00534
Not in CODE dict |AN002305
Not in KLP ID dict |33152
Not in CODE dict |AN0015026
Not in CODE dict |AN00581
Not in CODE dict |AN001669
Not in CODE dict |IN00151
Not in CODE dict |AN00141
Not in CODE dict |AK00348
Not in CODE dict |AK00103
Not in KLP ID dict |30471
Not in KLP ID dict |30398
Not in CODE dict |AN001250
Not in CODE dict |AN001608
Not in CODE dict |AN00415
Not in CODE dict |AN001105
Not in CODE dict |AN001103
Not in CODE dict |AK001099
In neither dict ||
In neither dict ||
In neither dict ||
Not in CODE dict |AN00750
Not in CODE dict |AN00491
Not in KLP ID dict |31457
Not in CODE dict |AN001301
Not in CODE dict |AN001302
Not in CODE dict |AN001341
Not in CODE dict |AN00624
Not in CODE dict |AN002844
Not in KLP ID dict |31464
Not in CODE dict |AN00286
Not in CODE dict |AN001417
Not in KLP ID dict |30739
Not in CODE dict |AN00862
Not in CODE dict |AN001461
Not in KLP ID dict |29638
Not in CODE dict |IN00512
Not in CODE dict |AK00324
Not in CODE dict |AN00321
Not in KLP ID dict |29634
Not in CODE dict |IN00529
Not in CODE dict |AK00568
Not in CODE dict |AN001143
Not in CODE dict |AN001346
Not in CODE dict |AN001361
Not in CODE dict |AN00634
Not in CODE dict |AN002546
Not in KLP ID dict |30521
Not in KLP ID dict |NO CODE
Not in CODE dict |AN00626
Not in CODE dict |AN001441
Not in CODE dict |AN002527
Not in CODE dict |AK002611
Not in CODE dict |AN00834
Not in CODE dict |AN001711
Not in CODE dict |AK001703
Not in CODE dict |AK00966
Not in CODE dict |AN00974
Not in KLP ID dict |31502
In neither dict ||
Not in CODE dict |AN00851
Not in CODE dict |AN002494
Not in CODE dict |AN002490
Not in CODE dict |AN002449
Not in KLP ID dict |31415
Not in CODE dict |AN001419
Not in KLP ID dict |33824
In neither dict ||
Not in KLP ID dict |30840
In neither dict ||
Not in KLP ID dict |31508
Not in CODE dict |AN001420
Not in KLP ID dict |31015
Not in KLP ID dict |31293
