District_Name|School_Code|School_Name|Block_Name|Cluster_Name|Village_Name|Pincode
MADHUGIRI|29310508602|L.P.S. DEVARAYANAROOPPA|PAVAGADA|NYAYADAGUNTE|NYADAGUNTE|577116
MADHUGIRI|29310508603|L.P.S. C.T.HATTI|PAVAGADA|NYAYADAGUNTE|NYADAGUNTE|572116
MADHUGIRI|29310508604|M.G.M NYAYADAGUNTE|PAVAGADA|NYAYADAGUNTE|NYADAGUNTE|572116
MADHUGIRI|29310508703|L.P.S. KADIRAHALLI|PAVAGADA|NYAYADAGUNTE|S.R.PALYA|572116
MADHUGIRI|29310508704|NIDAGAL RHS S.R PALYA|PAVAGADA|NYAYADAGUNTE|S.R.PALYA|572116
MADHUGIRI|29310513606|VENKATESHWARA HPS|PAVAGADA|PAVAGADA URBAN|PAVAGADA WARD 3|561202
MADHUGIRI|29310508902|MANJUNATHA S RHS KYATHAGANAHALLI|PAVAGADA|NYAYADAGUNTE|KYATHAGANAHALLI|572116
MADHUGIRI|29310509003|HPS H.B.HALLY|PAVAGADA|NYAYADAGUNTE|H.B.HALLI|572116
MADHUGIRI|29310513502|H P S V S ENGLISH PAVAGADA|PAVAGADA|PAVAGADA URBAN|PAVAGADA WARD 2|561202
MADHUGIRI|29310509105|GJC KOTAGUDDA|PAVAGADA|KOTAGUDDA|KOTAGUDDA|561215
MADHUGIRI|29310513503|L P S JAI GURUDEV PAVAGADA|PAVAGADA|PAVAGADA URBAN|PAVAGADA WARD 2|561202
MADHUGIRI|29310509301|L.P.S. GUNDLAHALLI|PAVAGADA|KOTAGUDDA|GUNDLAHALLI|561202
MADHUGIRI|29310509302|L.P.S. DANDAMPALYA|PAVAGADA|KOTAGUDDA|GUNDLAHALLI|561202
MADHUGIRI|29310509303|H.P.S. YARPALYA|PAVAGADA|KOTAGUDDA|GUNDLAHALLI|561202
MADHUGIRI|29310509306|GLPS PALKUNTE|PAVAGADA|GUNDRALAHALLI|GUNDLAHALLI|561202
MADHUGIRI|29310509401|H.P.S. B ACHAMMANAHALLI|PAVAGADA|PONNASAMUNDRA|B.ACHAMMANAHALLI|561202
MADHUGIRI|29310509501|H.P.S. BOMMATHANAHALLI|PAVAGADA|PAVAGADA RURAL|BOMMATHANAHALLI|561202
MADHUGIRI|29310509502|L.P.S. GORASMAVU|PAVAGADA|KOTAGUDDA|BOMMATHANAHALLI|561202
MADHUGIRI|29310509601|H.P.S. KADAPALAKERE|PAVAGADA|KOTAGUDDA|KADAPALA KERE|561202
MADHUGIRI|29310509602|GOKULA HS KADAPALAKERE|PAVAGADA|KOTAGUDDA|KADAPALA KERE|561202
MADHUGIRI|29310509701|H.P.S. GUJJANADU|PAVAGADA|K T HALLY|GUJJANADU|572116
MADHUGIRI|29310509702|L.P.S. A H PALYA|PAVAGADA|K T HALLY|GUJJANADU|572116
MADHUGIRI|29310509703|L.P.S. C H PALYA|PAVAGADA|K T HALLY|GUJJANADU|572116
MADHUGIRI|29310509704|NETHRA VIDYAPEETA HS GUJJANADU|PAVAGADA|K T HALLY|GUJJANADU|572116
