School_Code|acyear|Disabled_C1_Boys|Disabled_C2_Boys|Disabled_C3_Boys|Disabled_C4_Boys|Disabled_C5_Boys|Disabled_C6_Boys|Disabled_C7_Boys|Disabled_C8_Boys|Disabled_C1_Girls|Disabled_C2_Girls|Disabled_C3_Girls|Disabled_C4_Girls|Disabled_C5_Girls|Disabled_C6_Girls|Disabled_C7_Girls|Disabled_C8_Girls
29010200101|2010-11|0|1|0|0|0|0|1|0|0|0|2|3|1|0|0|0
29010200201|2010-11|0|1|1|0|1|1|0|0|1|0|0|1|1|0|0|0
29010203202|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
29010203301|2010-11|1|0|0|1|1|0|0|0|1|0|0|0|0|0|0|0
29010203401|2010-11|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
29010203403|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203405|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203407|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203501|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203502|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203503|2010-11|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
29010203504|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203507|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203508|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203511|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203512|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203514|2010-11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203515|2010-11|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0
29010203601|2010-11|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0
29010203701|2010-11|0|0|2|1|1|0|0|0|0|0|1|0|1|0|0|0
29010203801|2010-11|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
