School_Code|acyear|Class1_Total_Enr_Boys|Class2_Total_Enr_Boys|Class3_Total_Enr_Boys|Class4_Total_Enr_Boys|Class5_Total_Enr_Boys|Class6_Total_Enr_Boys|Class7_Total_Enr_Boys|Class8_Total_Enr_Boys|Class1_Total_Enr_Girls|Class2_Total_Enr_Girls|Class3_Total_Enr_Girls|Class4_Total_Enr_Girls|Class5_Total_Enr_Girls|Class6_Total_Enr_Girls|Class7_Total_Enr_Girls|Class8_Total_Enr_Girls
29010200101|2010-11|26|25|31|31|39|34|28|0|14|20|32|21|42|28|24|0
29010200701|2010-11|45|49|39|41|40|26|38|0|50|40|54|43|35|41|62|0
29010200703|2010-11|22|34|35|50|54|66|98|0|22|46|35|55|55|88|78|0
29010200705|2010-11|27|14|19|34|36|8|25|0|26|17|42|27|24|27|19|0
29010200708|2010-11|1|4|3|6|9|18|4|0|13|10|15|13|18|24|24|0
29010200712|2010-11|112|72|78|82|69|71|74|0|36|49|30|57|54|35|36|0
29010200715|2010-11|0|0|0|0|0|28|28|21|0|0|0|0|0|20|20|29
29010200723|2010-11|5|4|6|4|2|0|0|0|11|7|6|4|5|0|0|0
29010200727|2010-11|19|10|6|11|15|14|4|0|8|8|4|7|7|10|6|0
29010200735|2010-11|17|3|2|8|13|24|8|0|20|2|5|6|8|13|2|0
29010200736|2010-11|4|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0
29010200739|2010-11|34|39|38|28|27|31|0|0|25|17|20|26|19|12|0|0
29010200740|2010-11|38|1|1|1|2|0|0|0|15|5|1|4|2|0|0|0
29010200750|2010-11|22|3|9|11|21|15|18|10|9|5|4|8|4|10|8|2
29010200758|2010-11|6|5|3|7|5|2|2|0|10|4|4|6|8|5|9|0
29010200759|2010-11|3|2|1|1|2|0|0|0|7|3|3|9|2|0|0|0
29010200801|2010-11|9|12|9|13|22|17|24|0|7|7|12|17|23|16|20|0
29010200802|2010-11|2|1|1|1|1|0|0|0|4|0|0|2|4|0|0|0
29010200901|2010-11|7|10|12|13|12|12|21|0|16|15|14|12|11|12|12|0
29010201001|2010-11|2|3|4|5|5|0|0|0|3|3|7|6|8|0|0|0
29010201201|2010-11|7|6|6|8|15|0|0|0|4|7|3|11|9|0|0|0
29010201301|2010-11|11|7|19|15|22|15|21|0|13|14|12|14|9|9|8|0
29010201501|2010-11|2|9|7|13|5|4|9|9|6|5|12|6|5|7|4|7
29010201601|2010-11|16|16|10|24|16|16|26|0|18|23|28|25|29|22|29|0
29010201702|2010-11|40|34|41|49|54|51|47|0|0|0|0|0|0|0|0|0
29010201703|2010-11|0|0|0|0|0|0|0|0|40|33|42|49|52|40|63|0
29010201706|2010-11|9|8|21|10|17|3|0|0|13|13|10|12|8|1|0|0
29010201707|2010-11|56|4|6|3|2|0|0|0|42|1|4|2|0|0|0|0
29010201711|2010-11|5|5|0|0|0|0|0|0|5|5|0|0|0|0|0|0
29010201801|2010-11|9|15|13|14|18|16|14|0|15|15|18|18|20|13|21|0
29010201903|2010-11|41|15|17|24|11|0|0|0|23|10|9|19|10|0|0|0
29010202001|2010-11|13|5|5|12|15|8|14|9|16|9|14|11|13|12|10|14
29010202136|2010-11|32|21|21|16|0|0|0|0|10|16|11|8|0|0|0|0
29010202201|2010-11|21|19|24|25|29|30|28|0|21|27|24|23|27|24|36|0
29010202401|2010-11|8|5|10|10|9|12|12|10|7|8|3|12|12|11|11|9
29010202501|2010-11|6|7|4|8|11|11|10|0|8|18|8|6|6|8|4|0
29010202701|2010-11|17|19|24|16|28|39|36|0|19|16|23|17|25|34|36|0
29010202703|2010-11|5|1|1|0|3|0|0|0|2|3|0|4|1|0|0|0
29010202707|2010-11|7|3|2|6|4|0|0|0|10|3|4|7|2|0|0|0
29010202801|2010-11|16|10|21|20|23|10|21|0|21|5|15|17|17|12|20|0
29010202901|2010-11|30|17|27|35|16|26|32|0|20|25|26|21|19|38|33|0
29010202903|2010-11|6|4|4|5|7|0|0|0|2|0|3|3|3|0|0|0
29010203101|2010-11|22|24|20|18|30|26|37|0|30|23|23|24|30|26|32|0
29010203102|2010-11|5|2|6|6|3|0|0|0|4|4|6|1|5|0|0|0
29010203106|2010-11|5|0|0|0|0|0|0|0|5|0|0|0|0|0|0|0
29010203202|2010-11|2|2|1|2|2|0|0|0|4|2|1|3|2|0|0|0
29010203301|2010-11|11|12|11|15|15|8|10|0|13|9|7|13|8|8|10|0
29010203403|2010-11|2|3|7|1|3|0|0|0|3|4|2|6|5|0|0|0
29010203405|2010-11|3|11|17|18|16|5|11|0|6|9|11|14|17|11|9|0
29010203501|2010-11|23|9|14|24|30|38|37|0|20|22|19|20|10|28|26|0
29010203502|2010-11|4|5|3|8|7|8|13|0|0|0|0|0|0|0|0|0
29010203504|2010-11|12|8|18|11|10|14|20|0|22|14|12|16|19|17|13|0
29010203507|2010-11|0|3|3|0|1|0|0|0|1|1|2|1|1|0|0|0
29010203511|2010-11|3|3|2|0|0|0|0|0|1|2|2|3|3|0|0|0
29010203512|2010-11|23|25|15|16|19|17|12|0|25|25|13|17|14|7|16|0
29010203515|2010-11|5|6|4|5|11|5|9|8|8|5|9|6|6|10|10|8
29010203601|2010-11|12|6|6|7|8|10|7|0|11|8|9|13|6|7|5|0
29010203801|2010-11|20|17|12|18|18|17|12|0|24|12|20|18|16|11|16|0
29010203901|2010-11|12|4|13|9|10|9|15|14|18|9|17|18|13|13|14|14
29010204101|2010-11|9|7|7|4|6|7|6|0|3|7|7|4|13|7|5|0
29010204201|2010-11|15|18|23|31|33|26|21|0|23|30|15|25|27|23|19|0
29010204401|2010-11|4|6|3|5|6|14|6|0|7|4|4|5|6|17|16|0
29010204402|2010-11|26|17|22|19|21|29|22|0|21|13|17|10|30|34|18|0
29010204601|2010-11|32|23|22|27|49|34|34|0|16|17|20|24|31|18|37|0
29010204602|2010-11|2|2|2|2|2|0|0|0|3|3|3|3|3|0|0|0
29010205401|2010-11|22|15|19|16|26|16|17|0|14|16|10|18|25|22|16|0
29010200201|2010-11|11|17|16|23|7|12|16|0|19|14|16|17|21|13|13|0
29010200301|2010-11|6|4|3|6|3|0|0|0|4|4|4|5|2|0|0|0
29010200401|2010-11|22|15|23|21|14|17|26|20|20|18|20|39|18|20|20|36
29010200501|2010-11|33|30|38|35|28|28|40|0|42|30|34|36|36|37|36|0
29010200502|2010-11|0|1|1|1|1|0|0|0|3|3|0|0|2|0|0|0
29010200503|2010-11|3|3|2|6|7|0|0|0|2|3|3|4|4|0|0|0
29010200505|2010-11|11|12|11|11|4|9|0|0|7|6|6|4|4|3|0|0
29010200601|2010-11|5|12|10|10|13|12|9|0|7|9|14|17|8|2|10|0
29010205501|2010-11|14|7|10|11|5|18|10|0|18|8|13|12|7|7|9|0
29010203401|2010-11|13|0|0|2|5|7|1|0|20|2|2|4|2|1|0|0
29010200704|2010-11|30|34|30|65|56|64|59|0|24|25|32|35|26|38|48|0
29010205601|2010-11|23|24|33|36|29|25|46|0|17|29|29|23|25|44|25|0
29010205602|2010-11|1|0|5|3|2|0|0|0|2|0|1|0|2|0|0|0
29010200710|2010-11|24|30|30|27|19|23|18|0|18|15|12|14|21|15|15|0
29010203407|2010-11|21|39|23|20|21|24|25|0|29|27|13|20|20|16|16|0
29010205603|2010-11|8|5|3|1|2|0|0|0|4|4|7|5|7|0|0|0
29010200722|2010-11|22|15|14|26|16|7|6|0|14|17|13|20|12|7|13|0
29010205701|2010-11|3|7|11|9|8|8|6|8|14|11|11|11|14|16|7|10
29010200726|2010-11|0|0|0|0|0|8|14|22|0|0|0|0|0|1|2|3
29010203503|2010-11|0|0|0|0|0|0|0|0|2|5|5|9|9|9|12|0
29010200734|2010-11|8|12|6|7|4|7|10|0|10|15|16|18|11|13|9|0
29010205801|2010-11|5|9|7|5|6|5|7|0|8|6|11|8|11|5|10|0
29010205901|2010-11|12|9|11|17|19|15|8|16|12|4|11|16|14|14|17|17
29010200738|2010-11|4|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0
29010203508|2010-11|37|35|34|41|18|21|28|8|14|18|15|16|9|6|17|6
29010206001|2010-11|11|8|6|10|7|12|8|0|9|9|12|8|5|8|7|0
29010200741|2010-11|5|4|6|4|2|3|0|0|3|2|4|1|4|0|0|0
29010206102|2010-11|2|0|1|3|0|0|0|0|4|1|2|8|0|0|0|0
29010200755|2010-11|0|0|0|0|0|26|28|27|0|0|0|0|0|19|16|16
29010203514|2010-11|3|4|5|4|1|0|0|0|3|2|5|6|1|0|0|0
29010206201|2010-11|11|13|13|7|16|11|12|0|9|12|10|10|18|11|11|0
29010200760|2010-11|11|8|6|11|9|6|10|0|25|30|20|28|19|34|29|0
29010206302|2010-11|10|7|9|7|14|5|7|0|5|9|7|9|7|12|8|0
29010203701|2010-11|10|14|15|15|13|14|8|13|11|11|13|6|12|7|15|8
29010200804|2010-11|15|18|17|13|11|10|0|0|11|9|12|6|5|7|0|0
29010206401|2010-11|17|18|13|13|21|19|24|0|16|19|18|35|31|33|24|0
29010206403|2010-11|2|0|0|2|2|0|0|0|0|1|2|0|0|0|0|0
29010201101|2010-11|15|11|14|15|19|12|21|13|13|7|12|14|20|16|12|20
29010204001|2010-11|23|15|11|11|8|17|17|17|18|19|15|21|21|9|11|16
29010206406|2010-11|5|5|0|0|0|0|0|0|5|5|0|0|0|0|0|0
29010201401|2010-11|3|16|10|7|8|8|17|0|8|6|8|5|13|13|11|0
29010206501|2010-11|8|6|7|2|5|0|0|0|2|0|5|10|7|0|0|0
29010204301|2010-11|15|15|15|20|24|9|14|0|9|14|18|18|14|16|13|0
29010201602|2010-11|22|24|10|15|12|14|14|0|16|6|11|12|2|2|3|0
29010206601|2010-11|10|5|5|11|9|10|8|0|9|6|7|9|8|14|9|0
29010206701|2010-11|15|16|24|23|14|45|37|0|16|16|24|22|16|33|34|0
29010201704|2010-11|3|2|4|1|3|1|0|0|7|5|4|5|3|8|0|0
29010204403|2010-11|13|9|14|12|8|0|0|0|17|14|9|10|14|0|0|0
29010201710|2010-11|20|21|30|36|19|0|0|0|14|6|12|9|18|0|0|0
29010204604|2010-11|6|4|6|4|0|0|0|0|4|3|3|3|0|0|0|0
29010201901|2010-11|29|27|22|33|30|14|30|0|34|29|41|33|43|31|32|0
29010204605|2010-11|2|1|5|6|0|0|0|0|5|3|3|1|0|0|0|0
29010204606|2010-11|7|7|8|9|7|0|0|0|4|8|2|5|4|0|0|0
29010202101|2010-11|11|22|21|30|36|28|20|0|16|13|21|25|26|39|26|0
29010204607|2010-11|1|1|0|1|0|0|0|0|3|1|3|2|1|0|0|0
29010204701|2010-11|17|12|11|18|22|15|9|10|17|13|13|19|15|14|11|10
29010202301|2010-11|5|9|7|9|15|7|7|10|7|13|6|12|11|11|7|7
29010204801|2010-11|17|10|21|26|25|21|20|0|18|14|11|17|26|30|19|0
29010204802|2010-11|1|2|3|2|3|0|0|0|2|0|2|2|3|0|0|0
29010202602|2010-11|3|4|1|4|1|0|0|0|4|4|2|2|4|0|0|0
29010204803|2010-11|15|16|17|18|23|15|25|0|16|18|11|9|12|13|20|0
29010204807|2010-11|5|5|0|0|0|0|0|0|5|5|0|0|0|0|0|0
29010202705|2010-11|22|6|4|3|2|0|0|0|6|1|5|6|4|0|0|0
29010204901|2010-11|22|17|30|19|30|40|34|0|16|20|25|21|25|33|36|0
29010204903|2010-11|6|5|7|12|8|0|0|0|5|11|10|14|11|0|0|0
29010202802|2010-11|2|2|0|0|0|0|0|0|3|3|5|4|2|0|0|0
29010205001|2010-11|4|4|4|6|7|0|0|0|2|1|4|7|9|0|0|0
29010205101|2010-11|10|6|5|9|9|6|7|4|7|6|13|5|6|6|9|12
29010203001|2010-11|14|6|8|9|9|7|9|0|7|12|7|16|9|12|11|0
29010205201|2010-11|17|19|20|28|43|15|15|0|22|14|15|23|26|21|20|0
29010205203|2010-11|0|0|0|0|0|26|25|25|0|0|0|0|0|24|25|25
29010205301|2010-11|2|5|4|9|6|8|12|0|9|7|8|5|9|5|10|0
29010203201|2010-11|13|11|11|14|12|14|9|16|14|11|10|9|10|14|14|12
29010206707|2010-11|14|26|17|12|22|22|25|0|38|27|33|18|26|37|33|0
29010206709|2010-11|21|25|12|18|23|22|27|6|13|16|13|19|10|16|18|9
29010206712|2010-11|7|9|4|6|0|0|0|0|8|3|3|3|0|0|0|0
29010206713|2010-11|8|6|6|5|6|0|0|0|5|9|4|6|2|0|0|0
29010206717|2010-11|0|0|0|0|0|27|47|163|0|0|0|0|0|7|3|10
29010206720|2010-11|6|6|6|6|6|6|6|0|6|6|6|6|6|6|6|0
29010206721|2010-11|5|6|7|10|7|7|6|0|9|8|7|8|14|10|12|0
29010206722|2010-11|12|10|15|8|18|0|0|0|16|12|10|9|6|0|0|0
29010206723|2010-11|27|14|34|26|30|30|18|0|19|14|28|17|26|41|50|0
29010206801|2010-11|22|17|14|13|20|22|15|0|10|15|21|17|9|15|20|0
29010206802|2010-11|4|1|3|3|4|0|0|0|9|2|1|2|3|0|0|0
29010206901|2010-11|17|19|17|17|20|18|20|0|23|14|19|22|19|14|23|0
29010207001|2010-11|17|22|29|25|33|27|36|0|23|22|27|15|25|21|23|0
29010207101|2010-11|9|9|11|6|13|10|8|0|12|9|8|9|13|11|11|0
29010207102|2010-11|2|2|1|0|0|0|0|0|3|1|0|3|3|0|0|0
29010207103|2010-11|9|9|7|14|13|28|14|0|9|12|9|11|13|24|12|0
29010207104|2010-11|12|6|8|7|8|16|2|0|8|6|2|8|7|16|6|0
