School_Code|acyear|Class1_Total_Enr_Boys|Class2_Total_Enr_Boys|Class3_Total_Enr_Boys|Class4_Total_Enr_Boys|Class5_Total_Enr_Boys|Class6_Total_Enr_Boys|Class7_Total_Enr_Boys|Class8_Total_Enr_Boys|Class1_Total_Enr_Girls|Class2_Total_Enr_Girls|Class3_Total_Enr_Girls|Class4_Total_Enr_Girls|Class5_Total_Enr_Girls|Class6_Total_Enr_Girls|Class7_Total_Enr_Girls|Class8_Total_Enr_Girls
29310502908|2011-12|0|0|0|0|0|0|0|127|0|0|0|0|0|0|0|160
29310502909|2011-12|0|0|0|0|0|0|0|20|0|0|0|0|0|0|0|14
29310502910|2011-12|0|0|0|0|0|0|0|17|0|0|0|0|0|0|0|12
29310502911|2011-12|0|0|0|0|0|0|0|19|0|0|0|0|0|0|0|15
29310502912|2011-12|0|0|0|0|0|0|0|35|0|0|0|0|0|0|0|18
29310503001|2011-12|21|13|16|13|12|9|9|0|16|10|12|17|18|9|12|0
29310503002|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503101|2011-12|11|13|15|12|16|19|19|0|13|12|16|17|26|19|13|0
29310503102|2011-12|6|10|11|4|11|6|10|0|3|7|9|6|9|7|3|0
29310503103|2011-12|2|7|3|3|8|0|0|0|6|3|1|1|2|0|0|0
29310503201|2011-12|7|9|3|7|7|11|2|0|3|9|10|4|6|11|6|0
29310503301|2011-12|1|2|4|2|1|0|0|0|2|0|3|1|0|0|0|0
29310503302|2011-12|13|9|12|6|17|8|15|0|16|6|13|10|12|11|23|0
29310503401|2011-12|7|7|5|11|9|5|7|0|6|11|6|8|8|7|7|0
29310503402|2011-12|13|7|6|6|14|5|11|0|5|6|3|5|6|9|5|0
29310503403|2011-12|0|0|0|1|0|0|0|0|0|1|0|2|0|0|0|0
29310503501|2011-12|5|8|4|6|9|7|6|0|3|6|6|6|5|3|3|0
29310503502|2011-12|0|0|0|0|0|0|0|18|0|0|0|0|0|0|0|20
29310503601|2011-12|7|4|4|4|7|3|8|0|7|6|8|2|13|6|8|0
29310503602|2011-12|6|4|10|12|21|7|11|0|11|5|5|11|14|7|12|0
29310503701|2011-12|5|6|4|7|3|6|3|0|4|4|3|7|4|5|1|0
29310503702|2011-12|0|0|0|0|0|0|0|17|0|0|0|0|0|0|0|14
29310503801|2011-12|9|6|7|3|10|13|7|0|8|5|7|11|11|9|7|0
29310503901|2011-12|7|3|4|7|9|6|5|0|4|8|7|8|6|4|4|0
29310503902|2011-12|10|8|9|8|15|17|12|0|4|10|8|9|6|14|13|0
29310503903|2011-12|5|6|3|4|4|0|0|0|3|7|4|9|3|0|0|0
29310503905|2011-12|0|0|0|0|0|25|31|30|0|0|0|0|0|25|19|20
29310503906|2011-12|0|0|0|0|0|0|0|12|0|0|0|0|0|0|0|21
29310503907|2011-12|0|0|0|0|0|0|0|9|0|0|0|0|0|0|0|22
29310504001|2011-12|14|16|11|7|13|26|25|0|14|16|15|7|6|28|23|0
29310504002|2011-12|6|2|4|2|2|0|0|0|8|3|4|3|9|0|0|0
29310504003|2011-12|1|1|1|3|5|0|0|0|2|2|1|3|4|0|0|0
29310504004|2011-12|0|0|0|0|0|0|0|22|0|0|0|0|0|0|0|9
29310504101|2011-12|4|11|2|3|3|7|5|0|7|3|5|9|8|7|7|0
29310504201|2011-12|14|15|11|6|12|4|14|0|9|6|9|7|11|9|4|0
29310504203|2011-12|3|3|0|1|2|0|0|0|1|0|3|3|2|0|0|0
29310504301|2011-12|2|6|6|2|8|0|0|0|5|2|2|5|5|0|0|0
29310504501|2011-12|8|4|1|1|5|0|0|0|6|4|2|2|4|0|0|0
29310504601|2011-12|1|2|1|3|0|0|0|0|2|3|5|2|0|0|0|0
29310504701|2011-12|16|21|20|24|23|36|40|0|21|20|20|15|21|26|23|0
29310504703|2011-12|0|0|0|0|0|0|0|41|0|0|0|0|0|0|0|27
29310504801|2011-12|12|8|6|8|7|15|16|0|10|10|12|4|13|10|9|0
29310504802|2011-12|3|4|1|3|6|0|0|0|1|2|2|2|3|0|0|0
29310504901|2011-12|7|5|7|4|12|8|11|0|4|12|9|6|14|11|11|0
29310505001|2011-12|16|5|10|3|6|14|11|0|7|4|7|7|4|11|16|0
29310505002|2011-12|0|0|0|0|0|0|0|13|0|0|0|0|0|0|0|11
29310505101|2011-12|8|8|3|8|8|0|0|0|0|6|7|11|2|0|0|0
29310505201|2011-12|4|3|2|1|3|0|0|0|3|1|1|5|4|0|0|0
29310505301|2011-12|5|5|3|4|0|0|0|0|5|5|4|4|9|0|0|0
29310505401|2011-12|2|3|3|2|0|0|0|0|0|4|2|1|3|0|0|0
29310505501|2011-12|6|6|3|6|3|0|0|0|7|4|4|5|7|0|0|0
29310505601|2011-12|10|12|16|8|17|39|25|0|7|16|9|10|18|23|19|0
29310505602|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505603|2011-12|0|0|0|0|0|0|0|31|0|0|0|0|0|0|0|23
29310505701|2011-12|10|13|12|9|12|8|16|0|11|11|11|12|9|13|7|0
29310505702|2011-12|2|2|2|1|2|0|0|0|0|2|2|1|1|0|0|0
29310505801|2011-12|8|5|4|7|1|0|0|0|5|13|5|6|6|0|0|0
29310505901|2011-12|7|6|12|7|5|9|14|0|11|9|6|6|11|9|9|0
29310505902|2011-12|0|0|0|0|0|0|0|17|0|0|0|0|0|0|0|20
29310505903|2011-12|5|1|1|0|0|0|0|0|2|1|1|0|0|0|0|0
29310506001|2011-12|7|8|7|7|10|4|8|0|8|6|7|4|8|11|11|0
29310506002|2011-12|18|19|14|9|15|21|17|0|9|19|13|15|11|24|18|0
29310506003|2011-12|4|7|5|1|0|0|0|0|1|0|4|4|0|0|0|0
29310506004|2011-12|2|4|3|0|4|0|0|0|0|1|3|2|2|0|0|0
29310506005|2011-12|6|3|3|7|4|0|0|0|2|3|2|6|4|0|0|0
29310506006|2011-12|18|23|33|20|20|9|16|0|10|18|10|14|12|7|9|0
29310506007|2011-12|0|0|0|0|0|0|0|63|0|0|0|0|0|0|0|61
29310506008|2011-12|0|0|0|0|0|0|0|18|0|0|0|0|0|0|0|8
29310506009|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|26
29310506101|2011-12|4|2|2|0|5|0|0|0|2|2|2|3|5|0|0|0
29310506102|2011-12|7|7|3|7|5|8|3|0|6|6|6|4|5|4|7|0
29310506201|2011-12|4|18|2|5|21|12|9|0|7|8|10|18|12|8|12|0
29310506202|2011-12|4|6|5|6|6|6|6|0|8|5|6|6|9|5|6|0
29310506203|2011-12|0|0|0|0|0|0|0|20|0|0|0|0|0|0|0|16
29310506301|2011-12|15|7|13|6|15|20|25|0|9|13|9|4|13|14|18|0
29310506302|2011-12|2|3|6|7|9|2|2|0|2|7|3|3|5|4|7|0
29310506303|2011-12|0|0|0|0|0|0|0|26|0|0|0|0|0|0|0|15
29310506401|2011-12|2|2|3|2|1|0|0|0|0|2|1|4|3|0|0|0
29310506501|2011-12|5|3|5|1|12|10|8|0|3|5|8|4|0|16|14|0
29310506502|2011-12|0|0|0|0|0|0|0|6|0|0|0|0|0|0|0|10
29310506601|2011-12|8|18|13|9|26|31|30|0|5|10|11|9|26|12|30|0
29310506603|2011-12|0|0|0|0|0|0|0|42|0|0|0|0|0|0|0|46
29310506701|2011-12|8|11|10|5|14|14|17|0|8|5|11|18|11|11|11|0
29310506702|2011-12|2|2|2|1|0|0|0|0|2|0|0|2|0|0|0|0
29310506801|2011-12|3|1|4|2|3|0|0|0|3|2|3|3|4|0|0|0
29310506902|2011-12|0|0|2|1|0|0|0|0|0|1|2|2|0|0|0|0
29310507001|2011-12|8|10|7|4|0|0|0|0|8|6|8|6|0|0|0|0
29310507101|2011-12|3|6|4|3|4|0|0|0|1|3|3|2|4|0|0|0
29310507201|2011-12|8|5|6|20|13|28|27|0|9|6|7|11|11|22|25|0
29310507202|2011-12|1|1|2|2|2|0|0|0|0|1|0|2|0|0|0|0
29310507203|2011-12|3|4|3|3|1|0|0|0|1|1|1|2|2|0|0|0
29310507204|2011-12|4|8|3|8|4|6|0|0|2|3|7|9|9|2|0|0
29310507205|2011-12|25|18|18|21|17|20|13|0|8|24|19|26|10|12|7|0
29310507206|2011-12|0|0|0|0|0|0|0|28|0|0|0|0|0|0|0|42
29310507207|2011-12|0|0|0|0|0|0|0|21|0|0|0|0|0|0|0|13
29310507301|2011-12|3|6|4|7|6|20|19|0|6|10|9|4|7|12|8|0
29310507401|2011-12|0|3|3|5|7|0|0|0|5|2|3|2|5|0|0|0
29310507601|2011-12|2|2|1|2|5|0|0|0|2|4|1|0|4|0|0|0
29310507602|2011-12|0|0|0|0|0|0|0|21|0|0|0|0|0|0|0|18
29310507701|2011-12|2|5|2|2|5|0|0|0|3|4|2|1|3|0|0|0
29310507801|2011-12|6|19|20|8|13|24|23|0|6|10|10|15|11|24|23|0
29310507802|2011-12|10|9|11|14|15|15|15|0|8|3|4|4|10|8|9|0
29310507803|2011-12|9|9|10|4|2|2|0|0|5|3|1|1|1|3|0|0
29310507804|2011-12|0|0|3|4|10|0|0|0|4|7|4|3|2|0|0|0
29310507805|2011-12|0|0|0|0|0|0|0|19|0|0|0|0|0|0|0|23
29310507901|2011-12|7|7|5|5|3|6|10|0|3|3|4|7|3|4|10|0
29310508001|2011-12|4|6|7|10|12|7|17|0|8|6|3|14|10|12|9|0
29310508002|2011-12|1|4|2|1|3|0|0|0|2|8|5|4|5|0|0|0
29310508003|2011-12|0|0|0|0|0|0|0|18|0|0|0|0|0|0|0|18
29310508101|2011-12|4|2|4|4|2|0|0|0|1|3|4|4|3|0|0|0
29310508201|2011-12|11|23|19|10|14|30|34|0|2|13|9|18|20|26|32|0
29310508202|2011-12|27|27|26|13|26|13|27|0|17|20|20|18|5|20|6|0
29310508203|2011-12|9|5|4|6|8|0|0|0|2|1|5|4|8|0|0|0
29310508204|2011-12|10|8|12|4|11|4|4|0|6|16|5|4|10|14|12|0
29310508205|2011-12|0|0|0|0|0|0|0|60|0|0|0|0|0|0|0|52
29310508206|2011-12|0|0|0|0|0|0|0|39|0|0|0|0|0|0|0|20
29310508301|2011-12|11|6|3|6|12|5|8|0|4|9|6|11|3|11|7|0
29310508302|2011-12|1|0|0|2|0|0|0|0|2|0|1|0|0|0|0|0
29310508401|2011-12|8|3|2|4|5|9|6|0|2|3|2|1|5|5|4|0
29310508402|2011-12|9|0|0|0|0|0|0|0|6|0|0|0|0|0|0|0
29310508501|2011-12|7|6|4|2|2|0|0|0|3|2|5|7|2|0|0|0
29310508601|2011-12|6|6|5|4|8|4|7|0|5|4|1|3|9|6|11|0
29310508602|2011-12|7|4|5|2|0|0|0|0|6|4|4|2|0|0|0|0
29310508603|2011-12|4|4|2|1|5|0|0|0|2|5|5|5|4|0|0|0
29310508604|2011-12|0|0|0|0|0|0|0|32|0|0|0|0|0|0|0|21
29310508701|2011-12|6|5|10|10|13|11|15|0|10|7|7|4|5|7|13|0
29310508702|2011-12|5|5|7|3|6|0|0|0|4|5|6|6|3|0|0|0
29310508703|2011-12|5|5|15|5|8|11|10|0|10|14|6|7|12|10|7|0
29310508704|2011-12|0|0|0|0|0|0|0|31|0|0|0|0|0|0|0|9
29310508801|2011-12|3|3|3|3|7|3|5|0|2|0|2|5|6|11|7|0
29310508901|2011-12|8|1|6|4|9|15|15|0|7|9|8|5|27|15|8|0
29310508902|2011-12|0|0|0|0|0|0|0|15|0|0|0|0|0|0|0|12
29310509003|2011-12|9|6|7|13|5|8|9|0|5|5|6|9|7|8|5|0
29310509101|2011-12|8|13|20|19|15|19|17|0|8|11|18|15|6|20|20|0
29310509102|2011-12|5|3|4|5|9|0|0|0|3|3|1|5|4|0|0|0
29310509104|2011-12|50|50|41|48|33|26|20|22|32|30|19|22|18|16|13|8
29310509105|2011-12|0|0|0|0|0|0|0|32|0|0|0|0|0|0|0|38
29310509201|2011-12|4|19|15|12|14|18|17|0|10|12|8|12|22|20|20|0
29310509301|2011-12|2|7|8|9|2|0|0|0|1|3|4|7|7|0|0|0
29310509302|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310509303|2011-12|7|8|9|8|4|17|17|0|7|7|7|8|6|25|12|0
29310509304|2011-12|12|14|16|8|11|11|8|0|7|3|5|11|5|4|1|0
29310509305|2011-12|0|0|0|0|0|0|0|62|0|0|0|0|0|0|0|45
29310509306|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310509401|2011-12|6|4|8|9|8|11|12|0|8|10|12|2|18|11|6|0
29310509501|2011-12|7|8|12|5|8|11|11|0|3|9|6|7|8|10|13|0
29310509502|2011-12|1|4|5|3|4|0|0|0|1|5|1|3|3|0|0|0
29310509601|2011-12|4|5|6|5|7|8|8|0|6|10|3|7|3|10|9|0
29310509602|2011-12|0|0|0|0|0|0|0|18|0|0|0|0|0|0|0|28
29310509701|2011-12|6|10|6|8|4|23|15|0|4|8|9|5|4|17|18|0
29310509702|2011-12|4|6|1|3|4|0|0|0|7|5|5|3|5|0|0|0
29310509703|2011-12|6|7|5|5|3|0|0|0|2|4|4|1|5|0|0|0
29310509704|2011-12|0|0|0|0|0|0|0|26|0|0|0|0|0|0|0|27
29310509801|2011-12|9|6|7|2|11|8|4|0|4|5|8|8|10|12|8|0
29310509901|2011-12|2|4|4|8|3|7|4|0|3|7|3|2|5|0|2|0
29310509902|2011-12|5|4|4|3|1|0|0|0|4|3|3|5|4|0|0|0
29310509903|2011-12|4|0|0|0|0|0|0|0|0|2|2|0|2|0|0|0
29310510101|2011-12|6|9|9|13|18|27|29|0|16|21|8|13|9|5|32|0
29310510102|2011-12|0|7|1|2|1|0|0|0|0|2|1|3|3|0|0|0
29310510103|2011-12|1|1|2|1|4|0|0|0|1|1|1|2|6|0|0|0
29310510104|2011-12|1|4|3|6|1|0|0|0|6|2|4|8|7|0|0|0
29310510105|2011-12|1|0|0|0|1|0|0|0|0|0|0|0|2|0|0|0
29310510201|2011-12|5|6|9|13|16|7|5|0|8|10|8|7|12|13|2|0
29310510202|2011-12|1|2|4|0|0|0|0|0|2|1|2|3|0|0|0|0
29310510301|2011-12|8|3|8|8|8|11|11|0|8|7|5|6|9|7|11|0
29310510302|2011-12|19|15|14|8|4|0|0|0|10|5|9|10|7|0|0|0
29310510303|2011-12|0|0|0|0|0|0|0|50|0|0|0|0|0|0|0|41
29310510401|2011-12|9|11|8|7|16|19|11|0|5|9|14|10|12|15|16|0
29310510402|2011-12|14|18|10|17|9|11|3|0|5|5|8|4|5|1|2|0
29310510403|2011-12|0|0|0|0|0|0|0|32|0|0|0|0|0|0|0|22
29310510501|2011-12|7|4|7|4|1|0|0|0|8|6|2|8|7|0|0|0
29310510502|2011-12|6|8|6|5|9|21|18|0|8|7|8|8|10|14|12|0
29310510503|2011-12|9|6|3|7|7|4|10|0|8|1|5|6|7|8|10|0
29310510504|2011-12|9|6|3|5|9|0|0|0|8|6|4|3|11|0|0|0
