School_Code|Building_Status|Tot_Clrooms|Classrooms_in_Good_Condition|Classrooms_require_major_repair|Classrooms_require_minor_repair|Other_rooms_in_Good_Cond|Other_rooms_need_major_rep|Other_rooms_need_minor_rep|Toilet_Common|Toilet_Boys|Toilet_Girls|Kitchen_Devices_Grant|Status_of_MDM|Computer_Aided_Learnin_Lab|Separate_Room_for_HeadMaster|Electricity|Boundary_Wall|Library_YN|PlayGround|Blackboard|Books_in_library|Drinking_Water|Medical_Checkup|Ramps|No_of_Computers|Male_Tch|Female_Tch|NoResp_Tch|Head_Teacher|Graduate_Teachers|Tch_with_professional_Qualification|Days_involved_in_non_tch_assgn|Teachers_involved_in_non_tch_assgn
29120506361|1|4|3|1|0|4|2|0|1|1|1|1|3|3|1|1|2|1|1|3|500|3|1|1|1|8|0|0|0|0|0|0|0
29030305301|3|8|8|0|0|2|0|0|0|1|1|1|3|2|1|1|7|1|1|9|1743|3|1|1|0|8|2|0|0|2|0|0|0
29100505702|3|1|1|0|0|1|0|0|0|1|1|1|3|2|2|1|5|1|2|2|30|4|1|1|0|1|1|0|0|0|0|0|0
29030509808|3|3|3|0|0|1|0|0|0|0|0|2|2|2|2|2|5|1|2|3|1571|1|1|2|0|5|3|0|0|1|1|0|0
29100101501|3|2|2|0|0|2|0|0|0|1|1|2|3|2|2|1|6|1|1|2|83|2|1|2|0|2|0|0|0|0|0|0|0
29100205003|3|2|2|0|0|3|0|0|0|1|1|2|3|2|2|1|1|1|2|4|490|2|1|1|1|1|1|0|0|0|0|0|0
29320815301|3|5|3|2|0|0|0|0|0|1|1|2|3|2|2|1|1|1|2|8|736|3|1|1|0|0|2|0|0|0|0|0|0
29120503801|3|10|7|0|1|1|0|0|2|1|1|2|4|2|1|2|1|1|2|7|1991|4|2|1|0|3|8|0|0|4|11|0|0
29301004913|3|7|7|0|0|1|0|0|0|1|1|2|3|2|1|1|5|1|1|7|844|4|1|1|0|3|4|0|0|0|0|0|0
29130422001|3|5|2|0|0|1|0|0|0|1|1|1|3|2|1|1|1|1|2|7|2621|4|1|1|0|2|4|0|0|0|6|0|0
29240107104|1|10|10|0|0|3|0|0|5|6|7|2|3|2|1|1|7|1|1|10|11625|4|1|1|8|0|9|0|0|0|0|0|0
29090605007|3|6|6|0|0|0|0|0|0|1|1|2|3|2|2|1|5|1|2|6|512|3|1|1|0|1|4|0|0|0|0|0|0
29090103301|3|10|10|0|0|1|0|0|0|2|2|2|3|2|1|1|7|1|1|22|981|4|1|1|1|3|4|0|0|0|0|32|6
29100500201|3|5|5|0|0|1|0|0|0|1|1|2|3|2|2|1|1|1|2|5|811|2|1|1|0|0|4|0|0|0|0|12|4
29280500309|2|6|6|0|0|0|0|0|0|2|2|2|3|1|1|1|1|1|2|3|846|3|1|2|1|0|7|0|0|0|0|72|7
29280500365|2|5|5|0|0|2|0|0|1|1|1|2|1|1|1|1|1|1|1|5|2000|4|1|2|6|3|3|0|0|0|0|12|6
29280203117|3|15|6|0|0|3|0|0|2|10|6|2|3|3|1|1|1|1|1|15|5400|3|1|2|20|7|18|0|0|2|2|0|0
29190710201|3|1|0|1|0|0|0|0|0|1|1|2|3|2|2|1|4|1|2|2|30|4|1|2|0|1|1|0|0|0|0|0|0
