School_Code|Rural_Urban|Medium_of_Instruction|Distance_BRC|Distance_CRC|Yeur_Estd|Pre_Pry_YN|Residential_Sch_YN|Sch_Management|Lowest_Class|Highest_Class|Sch_Category|Pre_Pry_Students|School_Type|Shift_School_YN|No_of_Working_Days|No_of_Acad_Inspection|Residential_Sch_Type|Pre_Pry_Teachers|Visits_by_BRC|Visits_by_CRC|School_Dev_Grant_Recd|School_Dev_Grant_Expnd|TLM_Grant_Recd|TLM_Grant_Expnd|Funds_from_students_Recd|Funds_from_students_Expnd
29310502908|1|5|28|1|1952|2|2|4|8|10|5|0|3|2|0|1|5|0|3|2|0|0|0|0|0|0
29310502909|1|5|28|1|1991|2|2|4|8|10|5|0|3|2|0|0|5|0|0|5|0|0|0|0|0|0
29310502910|1|19|28|1|2004|2|2|5|8|10|5|0|3|2|0|0|5|0|0|0|0|0|0|0|0|0
29310502911|1|19|28|1|2006|2|2|5|8|10|5|0|3|2|0|0|5|0|0|0|0|0|0|0|0|0
29310502912|1|5|28|1|2006|2|2|1|8|10|5|0|3|2|0|0|5|0|0|0|40000|27000|0|0|0|0
29310503001|1|5|30|10|1944|2|2|1|1|7|2|0|3|2|0|0|5|0|2|11|12000|12000|4000|4000|0|0
29310503002|1|18|30|10|1968|2|2|1|1|5|1|0|3|2|0|0|5|0|0|1|0|0|0|0|0|0
29310503101|1|5|30|11|1945|2|2|1|1|7|2|0|3|2|0|0|5|0|2|10|12000|12000|3500|3500|0|0
29310503102|1|5|31|12|1948|2|2|1|1|7|2|0|3|2|0|1|5|0|1|10|10000|10000|2500|2500|0|0
29310503103|1|5|31|11|2003|2|2|1|1|5|1|0|3|2|0|0|5|0|3|12|5000|4523|1000|500|0|0
29310503201|1|5|25|4|1949|2|2|1|1|7|2|0|3|2|0|0|5|0|1|7|10000|10000|2500|2000|0|0
29310503301|1|5|36|8|1982|2|2|1|1|5|1|0|3|2|0|0|5|0|1|3|5000|5000|1000|1000|0|0
29310503302|1|5|36|8|1928|2|2|1|1|7|2|0|3|2|0|0|5|0|0|4|12000|12000|3000|3000|0|0
29310503401|1|5|25|8|1956|2|2|1|1|7|2|0|3|2|0|0|5|0|2|10|12000|12000|2000|2000|0|0
29310503402|1|5|36|6|1953|2|2|1|1|7|2|0|3|2|0|0|5|0|1|18|12000|12000|2000|2000|0|0
29310503403|1|5|26|8|2003|2|2|1|1|5|1|0|3|2|0|0|5|0|0|8|5000|5000|1000|1000|0|0
29310503501|1|5|33|5|1944|2|2|1|1|7|2|0|3|2|0|1|5|0|1|10|12000|12000|2000|2000|0|0
29310503502|1|5|34|4|2007|2|2|1|8|10|5|0|3|2|0|3|5|0|0|0|3000|3000|0|0|0|0
29310503601|1|5|34|4|1952|2|2|1|1|7|2|0|3|2|0|0|5|0|0|9|12000|12000|1500|1500|0|0
29310503602|1|5|35|5|1942|2|2|1|1|7|2|0|3|2|0|0|5|0|0|7|12000|12000|2500|2500|0|0
29310503701|1|5|35|5|1952|2|2|1|1|7|2|0|3|2|0|0|5|0|3|7|12000|12000|2000|2000|0|0
29310503702|1|5|35|5|1991|2|2|5|8|10|5|0|3|2|0|0|5|0|0|0|0|0|0|0|0|0
29310503801|1|5|38|8|1939|2|2|1|1|7|2|0|3|2|0|0|5|0|1|8|10000|5230|2000|2000|0|0
29310503901|1|5|25|3|1942|2|2|1|1|7|2|0|3|2|0|0|5|0|1|8|12000|12000|2000|2000|0|0
29310503902|1|5|20|1|1950|2|2|1|1|7|2|0|3|2|0|0|5|0|1|7|20000|20000|3500|3500|0|0
29310503903|1|5|22|2|2003|2|2|1|1|5|1|0|3|2|0|0|5|0|0|8|5000|5000|652|652|0|0
29310503905|1|5|20|1|2005|2|1|2|6|10|5|0|3|2|0|4|4|0|2|5|12000|0|0|0|0|0
29310503906|1|5|20|1|1994|2|2|1|8|10|5|0|3|2|0|2|5|0|2|0|0|0|0|0|0|0
29310503907|1|5|24|3|1991|2|2|5|8|10|5|0|3|2|0|3|5|0|4|8|0|0|0|0|0|0
29310504001|1|5|28|5|1913|2|2|1|1|7|2|0|3|2|0|0|5|0|2|10|20000|20000|3500|3500|0|0
29310504002|1|5|28|2|1954|2|2|1|1|5|1|0|3|2|0|0|5|0|0|8|5000|5000|1000|1000|0|0
29310504003|1|5|23|5|1963|2|2|1|1|5|1|0|3|2|0|1|5|0|2|5|5000|5000|1000|1000|0|0
29310504004|1|5|25|4|1981|2|2|4|8|10|5|0|3|2|0|0|5|0|0|0|0|0|0|0|0|0
29310504101|1|5|35|12|1952|2|2|1|1|7|2|0|3|2|0|0|5|0|0|11|10000|10000|2000|2000|0|0
29310504201|1|5|35|9|1961|2|2|1|1|7|2|0|3|2|0|1|5|0|0|10|12000|12000|2000|2000|0|0
29310504203|1|5|25|4|1986|2|2|1|1|5|1|0|3|2|0|0|5|0|1|10|5000|5000|1000|1000|0|0
29310504301|1|5|35|6|1957|2|2|1|1|5|1|0|3|2|0|0|5|0|0|10|5000|5000|1000|1000|0|0
29310504501|1|5|14|8|1961|2|2|1|1|5|1|0|3|2|0|0|5|0|2|7|5000|5000|1000|1000|0|0
29310504601|1|5|30|6|1985|2|2|1|1|5|1|0|3|2|0|0|5|0|0|8|5000|5000|1000|1000|0|0
29310504701|1|5|15|1|1925|2|2|1|1|7|2|0|3|2|0|1|5|0|4|7|20000|20000|4500|4500|0|0
29310504703|1|5|15|1|1976|2|2|4|8|10|5|0|3|2|0|0|5|0|0|0|0|0|0|0|0|0
29310504801|1|5|18|8|1936|2|2|1|1|7|2|0|3|2|0|0|5|0|0|5|12000|12000|3000|3000|0|0
29310504802|1|5|20|8|1987|2|2|1|1|5|1|0|3|2|0|0|5|0|0|4|5000|5000|1000|1000|0|0
29310504901|1|5|18|8|1945|2|2|1|1|7|2|0|3|2|0|0|5|0|6|8|20000|20000|2500|2500|0|0
29310505001|1|5|12|8|1944|2|2|1|1|7|2|0|3|2|0|0|5|0|1|5|12000|12000|2500|2500|0|0
29310505002|1|5|11|8|1993|2|2|1|8|10|5|0|3|2|0|0|5|0|0|0|0|0|0|0|0|0
29310505101|1|5|20|8|1957|2|2|1|1|5|1|0|3|2|0|0|5|0|4|11|5000|5000|1500|1500|0|0
29310505201|1|5|15|5|1948|2|2|1|1|5|1|0|3|2|0|0|5|0|6|10|5000|5000|652|652|0|0
29310505301|1|5|20|3|1961|2|2|1|1|5|1|0|3|2|0|0|5|0|1|6|5000|5000|1000|1000|0|0
29310505401|1|5|8|9|1954|2|2|1|1|5|1|0|3|2|0|0|5|0|0|6|5000|5000|1000|1000|0|0
29310505501|1|5|20|8|1959|2|2|1|1|5|1|0|3|2|0|0|5|0|0|7|5000|5000|1000|1000|0|0
29310505601|1|5|25|12|1950|2|2|1|1|7|2|0|3|2|0|0|5|0|8|10|15000|15000|4000|4000|0|0
29310505602|1|5|27|15|1986|2|2|1|1|5|1|0|3|2|0|0|5|0|0|1|0|0|0|0|0|0
29310505603|1|5|25|25|1967|2|2|4|8|10|5|0|3|2|0|1|5|0|2|4|0|0|0|0|0|0
29310505701|1|5|28|14|1958|2|2|1|1|7|2|0|3|2|0|1|5|0|6|8|20000|7000|3500|3000|0|0
29310505702|1|5|26|16|1970|2|2|1|1|5|1|0|3|2|0|0|5|0|0|6|5000|5000|500|500|0|0
29310505801|1|5|28|3|1962|2|2|1|1|5|1|0|3|2|0|0|5|0|0|8|5000|5000|1500|1500|0|0
29310505901|1|5|20|5|1966|2|2|1|1|7|2|0|3|2|0|0|5|0|2|10|20000|20000|2000|2000|0|0
29310505902|1|5|20|20|1992|2|2|4|8|10|5|0|3|2|0|0|5|0|0|0|0|0|0|0|0|0
29310505903|1|5|20|12|2004|2|2|1|1|5|1|0|3|2|0|0|5|0|0|3|5000|5000|1000|1000|0|0
29310506001|1|5|29|1|1931|2|2|1|1|7|2|0|3|2|0|0|5|0|2|8|12000|12000|2000|2000|0|0
29310506002|1|5|30|1|1956|2|2|1|1|7|2|0|3|2|0|0|5|0|1|5|20000|20000|4000|4000|0|0
29310506003|1|5|30|3|1998|2|2|1|1|5|1|0|3|2|0|0|5|0|1|10|5000|5000|1000|1000|0|0
29310506004|1|5|30|1|1984|2|2|1|1|5|1|0|3|2|0|0|5|0|0|9|5000|5000|1000|1000|0|0
29310506005|1|5|30|1|2002|1|2|5|1|5|1|46|3|2|0|0|5|2|1|1|0|0|0|0|0|0
29310506006|1|5|30|1|1997|2|2|5|1|7|2|0|3|2|0|0|5|0|0|1|0|0|0|0|0|0
29310506007|1|5|30|1|1985|2|2|4|8|10|5|0|3|2|0|3|5|0|0|3|0|0|0|0|0|0
29310506008|1|5|30|2|1994|2|2|5|8|10|5|0|3|2|0|0|5|0|0|4|0|0|0|0|0|0
29310506009|1|5|30|1|1994|2|2|5|8|10|5|0|2|2|0|0|5|0|0|0|0|0|0|0|0|0
29310506101|1|5|40|3|1945|2|2|1|1|5|1|0|3|2|0|0|5|0|2|19|5000|5000|1000|1000|0|0
