School_Code|acyear|Class1_OBC_Enr_Boys|Class2_OBC_Enr_Boys|Class3_OBC_Enr_Boys|Class4_OBC_Enr_Boys|Class5_OBC_Enr_Boys|Class6_OBC_Enr_Boys|Class7_OBC_Enr_Boys|Class8_OBC_Enr_Boys|Class1_OBC_Enr_Girls|Class2_OBC_Enr_Girls|Class3_OBC_Enr_Girls|Class4_OBC_Enr_Girls|Class5_OBC_Enr_Girls|Class6_OBC_Enr_Girls|Class7_OBC_Enr_Girls|Class8_OBC_Enr_Girls
29310502908|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310502909|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310502910|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310502911|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310502912|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503002|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503102|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503103|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503302|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503402|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503403|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503502|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503602|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503702|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503902|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503903|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503905|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503906|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310503907|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504002|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504003|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504004|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504203|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504703|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504802|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310504901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505002|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505602|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505603|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505702|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505902|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310505903|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506002|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506003|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506004|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506005|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506006|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506007|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506008|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506009|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506102|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506202|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506203|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506302|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506303|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506502|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506603|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506702|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310506902|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507202|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507203|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507204|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507205|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507206|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507207|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507602|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29310507802|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
