School_Code|acyear|Repeaters_C1_Boys|Repeaters_C2_Boys|Repeaters_C3_Boys|Repeaters_C4_Boys|Repeaters_C5_Boys|Repeaters_C6_Boys|Repeaters_C7_Boys|Repeaters_C8_Boys|Repeaters_C1_Girls|Repeaters_C2_Girls|Repeaters_C3_Girls|Repeaters_C4_Girls|Repeaters_C5_Girls|Repeaters_C6_Girls|Repeaters_C7_Girls|Repeaters_C8_Girls
29010200101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200102|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200202|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200502|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200503|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200504|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200505|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200703|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200704|2011-12|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
29010200705|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200708|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200710|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200712|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200722|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200723|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200726|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200727|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200734|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200735|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200736|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200738|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200739|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200740|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200741|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200742|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200744|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200746|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200748|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200749|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200750|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200751|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200752|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200754|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200755|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200756|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200757|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200758|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200759|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200760|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200761|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200762|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200763|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200764|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200765|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200766|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200768|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200769|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200802|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200804|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200805|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0
29010200901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010200902|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201102|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201602|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201603|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201702|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0
29010201703|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201704|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201706|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201707|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201708|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201709|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201710|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201711|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201712|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201801|2011-12|0|0|0|0|0|0|0|0|1|2|0|0|0|2|0|0
29010201802|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201902|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010201903|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202136|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202137|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
29010202401|2011-12|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0
29010202501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202502|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14|1
29010202602|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202703|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202705|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202706|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202707|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202708|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202802|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202901|2011-12|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
29010202903|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010202904|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
29010203001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203102|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203105|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203106|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203202|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203403|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203405|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203406|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203407|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203502|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203503|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203504|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203507|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203508|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203511|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203512|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203514|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203515|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203520|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203521|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010203901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204402|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204403|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204601|2011-12|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|0
29010204602|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204603|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204604|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204605|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204606|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3
29010204801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204802|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204803|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204806|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204807|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204903|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204904|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
29010205001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205201|2011-12|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
29010205202|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4
29010205203|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205402|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
