schcd|acyear|Working_Days_Primary|Working_Days_UPrimary|Schoool_Hours_Children_Pri|School_Hours_Children_UPri|School_Hours_Tch_P|School_Hours_Tch_UPR|Approachable_by_All_Weather_Road|CCE_implemented|People_Cumilativere_Record_Maintained|PCR_Shared_with_Parents|Children_from_Weaker_Section_Applied|Children_from_Weaker_Section_Enrolled|Aid_Received|Chilren_Admitted_for_Free_Education|SMC_Constituted|SMC_Members_Male|SMC_Members_Female|SMC_Members_Parents_Male|SMC_Members_PArents_Female|SMC_Members_Local_Authority_Male|SMC_Members_Local_Authority_Female|SMC_Meetings_Held|School_Developmentplan_Prepared|SMC_Children_Record_Maintained|Chld_Enrolled_for_Sp_Training_Current_Year_B|Chld_Enrolled_for_Sp_Training_Current_Year_G|Spl_Training_Provided_Current_Year_B|Spl_Training_Provided_Current_Year_G|Spl_Training_Enrolled_Previous_Year_B|Spl_Training_Enrolled_Previous_Year_G|Spl_training_Provided_Previous_Year_B|Spl_Training_Provided_Previous_Year_G|Spl_Training_Conducted_by|Spl_Training_Place|spl_Training_Type|Tch_or_EVS_for_spl_training|Spl_Training_Material|Textbook_Received|Text_Book_Received_Month|Text_Book_Received_Year|Academic_Session_Start_in|MDM_Status|Kitchenshed_Status|MDM_Source|Days_Meals_Served|Meals_Served_Prev_Yr|Students_Opted_MDM_B|Stdents_Opted_MDM_G|Kitchen_Devaices_Grant|Cook_M|Cook_F|Inspections_by_SO|Inspections_by_CM
29220103003|2011-12|221|221|7|6|7|7|1|1|1|1|0|0|0|0|1|5|4|5|4|0|0|7|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|172|0|18|24|2|0|0|0|0
29220107301|2011-12|214|0|7|0|7|0|1|1|1|1|0|0|0|0|1|6|3|6|3|0|0|4|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|165|0|14|18|2|0|0|0|0
29260805404|2011-12|232|232|8|8|8|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|0|2|0|0|0|0|0|2|0|0|0|0
29150105207|2011-12|227|227|8|8|8|8|1|1|1|1|0|0|0|0|1|11|6|6|3|5|2|9|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|227|0|104|70|1|0|0|0|0
29110710801|2011-12|228|228|8|7|8|8|1|1|1|1|0|0|0|0|1|9|10|4|5|0|0|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|3|1|1|212|0|61|77|1|0|0|0|0
29110709202|2011-12|210|210|8|7|8|8|1|1|1|1|0|0|0|0|1|6|3|0|0|0|0|6|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|3|1|1|206|0|9|26|1|0|0|0|0
29110708307|2011-12|229|229|8|7|8|8|1|1|1|1|0|0|0|0|1|6|3|6|3|0|0|6|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|3|1|0|222|0|44|38|1|0|0|0|0
29110709902|2011-12|232|232|8|7|8|8|1|1|1|1|0|0|0|0|1|9|8|6|3|1|1|5|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|3|1|1|208|0|7|6|1|0|0|0|0
29110709001|2011-12|230|230|7|6|7|7|1|1|1|1|0|0|0|0|1|6|3|6|3|1|2|9|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|3|1|0|191|0|60|72|1|0|0|0|0
29220421003|2011-12|233|233|8|7|8|8|1|1|1|1|0|0|0|0|1|5|7|4|5|1|2|6|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|233|0|60|46|1|0|0|0|0
