School_Code|Male_Tch|Female_Tch|NoResp_Tch|Head_Teacher|Graduate_Teachers|Tch_with_professional_Qualification|Days_involved_in_non_tch_assgn|Teachers_involved_in_non_tch_assgn
29010200401|5|6|0|0|0|0|0|0
29010200501|15|0|0|2|0|0|0|0
29010200502|2|0|0|0|0|0|0|0
29010200503|1|1|0|0|0|0|0|0
29010200505|1|5|0|0|0|4|0|0
29010200601|3|2|0|0|1|0|0|0
29010200701|7|14|0|1|0|0|0|0
29010200703|5|18|0|2|0|0|0|0
29010200704|6|8|0|1|0|0|0|0
29010200705|4|5|0|1|0|0|0|0
29010200708|4|3|0|1|0|0|0|0
29010200710|3|4|0|1|0|0|0|0
29010200712|15|0|0|1|0|0|0|0
29010200715|3|1|0|0|0|0|0|0
29010200722|2|2|0|0|0|0|0|0
29010200723|1|2|0|0|0|0|0|0
29010200726|7|5|0|0|0|0|0|0
29010200727|4|4|0|0|0|0|0|0
29010200734|3|3|0|1|0|0|0|0
29010200735|3|0|0|2|0|0|0|0
29010200736|1|0|0|0|0|0|0|0
29010200738|1|1|0|0|0|0|0|0
29010200739|0|6|0|1|0|0|0|0
29010200740|0|5|0|1|0|1|0|0
29010200741|7|1|0|0|8|1|0|0
29010200750|3|0|0|1|0|0|0|0
29010200760|3|6|0|1|0|0|0|0
29010201706|1|4|0|0|0|0|0|0
29010202703|1|1|0|0|0|0|0|0
29010203102|2|0|0|0|0|0|0|0
29010203106|1|0|0|1|0|0|0|0
29010200101|5|9|0|1|0|0|0|0
29010200758|0|4|0|0|0|0|0|0
29010200759|0|2|0|0|0|0|0|0
29010200801|4|5|0|1|0|0|0|0
29010200802|1|1|0|0|0|0|0|0
29010200901|2|5|0|1|1|0|0|0
29010201001|2|2|0|0|0|0|0|0
29010204803|5|2|0|1|0|0|0|0
29010204807|1|0|0|1|0|0|0|0
29010201201|2|2|0|0|1|0|0|0
29010201301|1|6|0|1|0|0|0|0
29010201501|4|1|0|1|0|0|0|0
29010201601|3|7|0|3|0|0|0|0
29010201702|3|8|0|1|0|0|0|0
29010201703|3|7|0|1|0|0|0|0
29010201707|3|10|0|3|12|0|0|0
29010201711|1|0|0|1|0|0|0|0
29010201801|7|1|0|1|0|0|0|0
29010201903|2|6|0|1|2|0|0|0
29010202001|7|0|0|0|1|0|0|0
29010202136|0|4|0|1|0|0|0|0
29010202201|5|8|0|1|0|0|0|0
29010202401|7|1|0|0|0|0|0|0
29010202501|4|0|0|1|0|0|0|0
29010202701|1|14|0|1|0|0|0|0
29010202707|2|0|0|0|0|0|0|0
29010202801|2|5|0|1|0|0|0|0
29010202901|9|5|0|0|0|0|0|0
29010202903|2|1|0|0|0|2|0|0
29010203101|4|6|0|1|0|0|0|0
29010203202|3|0|0|0|0|0|0|0
29010203301|3|2|0|1|0|0|0|0
29010203403|1|2|0|0|0|0|0|0
29010203405|2|3|0|0|0|0|0|0
29010204606|3|3|0|0|3|0|0|0
29010200201|4|6|0|1|0|0|0|0
29010200301|2|0|0|0|0|0|0|0
29010206601|4|2|0|1|0|0|0|0
29010206701|8|13|0|0|1|0|0|0
29010203401|8|11|0|1|0|0|0|0
29010203407|5|2|0|1|0|0|0|0
29010203501|2|1|0|0|0|0|0|0
29010203502|1|3|0|1|0|0|0|0
29010203503|1|3|0|1|2|0|0|0
29010203504|2|7|0|1|0|0|0|0
29010203507|2|0|0|0|0|0|0|0
29010203508|4|8|0|0|0|1|0|0
29010203511|0|2|0|0|0|0|0|0
29010203512|2|5|0|0|0|0|0|0
29010203514|2|0|0|0|0|0|0|0
29010203515|2|4|0|1|0|0|0|0
29010203601|5|1|0|2|0|0|0|0
29010203701|6|1|0|1|0|0|0|0
29010203801|7|1|0|1|0|0|0|0
