School_Code|Male_Tch|Female_Tch|NoResp_Tch|Head_Teacher|Graduate_Teachers|Tch_with_professional_Qualification|Days_involved_in_non_tch_assgn|Teachers_involved_in_non_tch_assgn
29310502908|21|0|0|0|0|0|282|19
29310502909|8|0|0|0|0|0|120|2
29310502910|7|0|0|0|1|0|0|0
29310502911|6|1|0|0|0|0|0|0
29310502912|5|2|0|0|0|1|80|2
29310503001|5|1|0|0|0|0|0|0
29310503002|1|0|0|0|0|0|0|0
29310503101|2|5|0|0|0|0|0|0
29310503102|3|1|0|0|0|0|0|0
29310503103|0|0|0|0|0|0|0|0
29310503201|3|2|0|0|0|0|6|2
29310503301|1|1|0|0|0|0|0|0
29310503302|4|0|0|0|0|0|0|0
29310503401|4|0|0|0|0|0|0|0
29310503402|3|1|0|0|0|0|0|0
29310503403|2|0|0|0|0|0|0|0
29310503501|2|0|0|0|0|0|0|0
29310503502|8|0|0|0|0|1|0|0
29310503601|2|0|0|0|0|0|0|0
29310503602|5|0|0|0|0|0|0|0
29310503701|1|1|0|0|0|0|6|2
29310503702|6|2|0|0|1|1|24|6
29310503801|3|1|0|0|0|0|0|0
29310503901|1|2|0|0|0|0|0|0
29310503902|2|4|0|0|0|0|2|1
29310503903|2|0|0|0|0|0|0|0
29310503905|5|3|0|0|0|0|0|0
29310503906|6|0|0|0|0|0|0|0
29310503907|7|1|0|1|1|1|195|7
29310504001|7|0|0|0|0|0|54|7
29310504002|2|0|0|0|0|0|8|1
29310504003|2|0|0|0|0|1|0|0
29310504004|6|0|0|0|0|1|0|0
29310504101|3|0|0|0|0|0|28|3
29310504201|3|1|0|0|0|0|6|2
29310504203|1|0|0|0|0|0|0|0
29310504301|2|0|0|0|0|0|0|0
29310504501|2|0|0|0|0|0|30|1
29310504601|1|0|0|0|0|0|0|0
29310504701|4|4|0|0|0|0|0|0
29310504703|8|0|0|0|1|0|0|0
29310504801|3|1|0|0|0|0|0|0
29310504802|2|0|0|0|0|0|0|0
29310504901|2|1|0|0|0|0|0|0
29310505001|3|2|0|0|0|0|0|0
29310505002|5|2|0|0|0|0|60|1
29310505101|2|1|0|0|0|0|0|0
