School_Code|Building_Status|Tot_Clrooms|Classrooms_in_Good_Condition|Classrooms_require_major_repair|Classrooms_require_minor_repair|Other_rooms_in_Good_Cond|Other_rooms_need_major_rep|Other_rooms_need_minor_rep|Toilet_Common|Toilet_Boys|Toilet_Girls|Kitchen_Devices_Grant|Status_of_MDM|Computer_Aided_Learnin_Lab|Separate_Room_for_HeadMaster|Electricity|Boundary_Wall|Library_YN|PlayGround|Blackboard|Books_in_library|Drinking_Water|Medical_Checkup|Ramps|No_of_Computers|Male_Tch|Female_Tch|NoResp_Tch|Head_Teacher|Graduate_Teachers|Tch_with_professional_Qualification|Days_involved_in_non_tch_assgn|Teachers_involved_in_non_tch_assgn
29280200102|4|1|1|0|0|0|0|0|1|1|2|2|3|2|2|1|5|1|1|1|90|3|1|2|0|2|0|0|0|2|0|8|2
29280200403|3|7|7|0|0|2|0|0|1|1|2|2|3|1|1|1|1|1|2|3|1350|3|1|2|10|0|4|0|1|0|0|0|0
29280200405|3|2|2|0|0|1|0|0|0|1|1|2|3|1|2|1|1|1|1|2|90|4|2|2|0|0|3|0|0|0|0|0|0
29280200406|3|2|2|0|0|2|0|0|0|1|1|2|3|2|2|1|5|1|2|3|43|2|1|1|0|1|2|0|0|1|1|0|0
29280200407|3|4|4|0|0|1|0|0|1|2|2|2|3|2|1|1|1|1|1|4|1500|4|1|1|0|1|3|0|1|0|0|0|0
29280200603|3|7|7|0|0|2|0|0|1|1|1|2|3|2|1|1|1|1|1|5|3128|3|2|1|0|0|7|0|1|1|0|0|0
29280201203|3|16|4|8|4|2|0|1|0|2|2|2|3|2|1|1|4|1|1|16|2213|1|1|1|2|4|10|0|1|2|1|0|0
29280201301|3|6|5|0|1|0|0|0|2|2|2|2|3|1|1|1|7|1|1|6|916|3|1|1|0|1|5|0|1|1|0|0|0
29280201501|3|3|2|1|0|0|0|0|1|0|0|2|3|2|2|1|5|1|1|4|320|3|1|1|0|0|3|0|0|1|1|0|0
29280201601|3|2|2|0|0|0|0|0|1|0|0|2|3|2|2|1|1|1|2|4|100|3|1|1|0|1|1|0|1|0|0|0|0
29280201701|3|15|11|0|4|2|0|0|2|2|2|2|3|2|2|1|4|1|1|11|1861|3|1|1|3|3|14|0|1|0|1|0|0
29280201802|3|9|5|4|0|0|2|0|0|2|2|2|3|2|1|1|2|1|2|6|900|3|1|1|0|4|8|0|1|0|0|0|0
29280201902|3|8|8|0|0|0|1|1|1|1|1|2|3|2|2|1|1|1|1|6|280|3|1|1|5|3|6|0|1|0|8|0|0
29280202001|3|10|5|0|3|1|0|0|0|3|3|2|3|3|1|1|1|1|1|10|850|3|1|1|3|3|9|0|1|1|0|0|0
29280202101|3|2|1|1|0|1|0|0|0|1|1|2|3|2|2|1|5|1|1|2|450|3|1|1|0|2|0|0|0|0|0|0|0
29280202401|3|2|2|0|0|0|0|0|0|1|1|1|3|2|2|1|1|1|1|2|250|3|1|1|0|2|0|0|0|0|0|0|0
29280202601|3|5|4|0|1|2|2|1|0|2|5|2|3|1|1|1|1|1|1|9|1339|3|1|1|3|3|2|0|1|0|0|0|0
29280202701|3|3|0|1|2|1|0|0|0|2|2|1|3|2|2|1|1|1|1|3|150|3|1|1|0|0|4|0|0|0|0|0|0
29280202804|3|18|14|3|1|3|0|0|1|3|5|2|3|2|1|1|1|1|1|18|1600|2|1|2|5|3|18|0|1|1|0|0|0
29280202813|3|7|5|0|2|1|0|0|0|2|2|2|3|1|1|1|1|1|1|7|697|3|1|1|0|0|8|0|1|1|0|0|0
29280202837|4|2|1|0|0|0|0|0|0|0|1|2|3|2|2|1|5|1|2|1|0|2|2|2|2|0|2|0|0|0|0|0|0
29280202902|3|3|2|0|0|1|0|0|0|1|1|2|3|2|1|1|1|1|2|3|500|4|1|2|0|1|4|0|0|0|3|0|0
29280202911|4|3|0|0|2|0|0|0|0|1|1|2|3|2|2|1|5|1|2|2|50|4|1|2|0|0|3|0|0|0|0|2|1
29280203006|3|4|4|0|0|1|0|0|2|2|2|2|3|2|2|1|3|1|1|8|301|3|1|2|0|1|4|0|0|0|0|0|0
29280203104|3|15|13|0|2|3|0|1|1|3|4|2|3|1|1|1|1|1|2|17|2500|4|1|2|5|2|12|0|1|3|14|0|0
29280203121|3|2|2|0|0|2|0|0|0|1|1|2|3|2|1|1|5|1|1|4|40|3|1|2|0|0|2|0|0|0|0|0|0
29280203205|3|7|7|0|0|2|0|0|1|1|2|2|3|1|2|1|1|1|2|9|1655|3|1|1|5|2|8|0|1|0|9|0|0
29280203306|3|8|8|0|0|2|0|0|2|2|2|2|3|1|1|1|1|1|1|15|1600|3|1|1|6|1|10|0|1|0|0|0|0
29280203308|3|1|0|0|1|1|0|0|0|1|1|2|3|2|2|1|5|1|2|2|97|3|1|2|0|0|2|0|0|1|1|0|0
29280203309|3|15|15|0|0|1|0|0|2|3|3|2|3|1|1|1|5|1|1|13|1122|3|1|2|5|1|16|0|1|0|12|0|0
29280203310|2|7|7|0|0|1|0|0|1|2|3|2|3|2|1|1|1|1|1|8|1000|3|1|2|2|0|4|0|1|0|0|0|0
29280203337|3|1|1|0|0|1|0|0|0|1|1|2|3|2|2|1|1|1|2|2|211|3|1|2|0|0|2|0|0|0|0|0|0
29280203407|3|3|3|0|0|0|0|0|0|1|1|2|3|2|2|1|1|1|2|2|99|3|1|2|1|1|2|0|1|0|0|0|0
29280203504|3|16|16|0|0|3|0|0|2|4|4|2|3|2|1|1|1|1|1|13|1107|3|1|1|8|2|13|0|1|1|0|0|0
29280203701|3|9|9|0|0|2|0|0|0|1|1|2|3|1|2|1|1|1|1|9|2500|3|1|1|1|2|4|0|1|1|0|0|0
29280203801|3|4|4|0|0|1|0|0|0|1|1|2|3|2|2|1|1|1|1|5|2200|3|1|1|1|1|3|0|2|0|0|0|0
29280203901|3|10|6|2|2|2|0|0|0|1|1|2|3|2|2|1|5|1|2|10|1194|3|1|1|0|1|7|0|1|0|0|0|0
29280203903|3|4|4|0|0|1|0|0|0|1|1|2|3|2|2|1|5|1|1|8|200|3|1|1|1|2|1|0|0|1|0|0|0
29280203910|3|1|1|0|0|0|0|0|0|1|1|2|3|2|1|1|4|1|2|1|343|3|1|2|0|2|0|0|0|0|0|0|0
29280203911|3|5|5|0|0|2|0|0|1|1|1|2|3|2|1|1|1|1|1|5|1012|3|1|1|0|2|2|0|0|0|0|0|0
29280204001|3|4|4|0|0|1|0|0|1|1|1|2|3|2|2|1|2|1|1|6|1000|3|1|1|0|3|1|0|0|1|0|0|0
29280204201|3|3|3|0|0|1|0|0|0|1|1|2|3|1|2|1|4|1|1|1|250|3|1|1|0|1|1|0|0|0|0|0|0
29280204301|3|2|1|0|1|1|0|0|0|1|1|2|3|2|1|1|1|1|2|2|460|4|1|2|0|1|1|0|0|0|2|0|0
29280204401|3|1|1|0|0|0|0|0|0|1|1|2|3|2|2|1|5|1|2|3|305|3|1|2|0|1|1|0|0|0|0|0|0
29280204501|3|2|0|2|0|1|0|0|0|1|1|2|3|2|2|1|1|1|2|1|545|3|1|2|0|0|2|0|0|0|0|0|0
29280204601|3|2|1|1|0|1|0|0|0|1|1|2|3|2|2|1|5|1|2|4|350|3|1|2|0|0|2|0|0|0|0|0|0
29280204602|3|2|2|0|0|1|0|0|1|1|1|2|3|2|1|1|5|1|1|2|100|3|1|2|0|1|1|0|0|0|0|0|0
29280204802|3|7|7|0|0|4|0|0|1|1|1|2|3|3|2|1|1|1|2|7|1758|3|1|1|2|1|6|0|0|0|0|0|0
29280204901|3|5|5|0|0|3|0|0|2|1|1|2|3|2|2|1|7|1|1|4|911|3|1|1|0|1|3|0|1|1|0|0|0
29280205001|3|1|0|1|0|2|0|0|1|3|3|2|3|2|2|1|1|1|2|2|350|3|1|1|0|0|2|0|1|0|1|0|0
29280205101|3|2|2|0|0|0|0|0|0|1|1|1|3|2|2|1|1|1|2|2|314|3|1|1|0|1|0|0|0|0|0|0|0
29280205201|3|2|0|2|0|0|3|0|0|1|1|1|3|2|2|1|5|1|2|2|150|3|2|1|0|1|1|0|0|0|0|0|0
29280205301|3|2|2|0|0|0|0|1|0|1|1|1|3|2|1|1|4|1|2|2|491|3|1|1|0|0|2|0|0|0|0|0|0
29280205401|3|2|2|0|0|0|0|0|1|1|1|2|3|2|2|1|5|1|1|5|153|3|1|1|0|1|1|0|0|0|0|0|0
29280205502|3|9|3|0|0|0|2|0|1|1|1|2|3|2|1|1|1|1|1|11|1208|3|1|1|7|4|7|0|1|0|0|0|0
29280205601|3|8|4|2|2|3|0|0|1|1|1|2|3|2|1|1|1|1|1|11|2000|3|1|1|0|4|6|0|0|0|0|0|0
29280205701|3|6|4|1|1|1|0|0|1|1|1|2|3|2|1|1|1|1|1|6|2850|3|1|1|0|3|1|0|1|0|0|0|0
29280205801|3|2|2|0|0|1|0|0|1|1|1|2|3|2|2|1|1|1|1|2|10|3|1|1|0|1|1|0|0|0|0|0|0
29280205901|3|2|0|0|0|0|0|0|1|1|1|2|3|2|2|1|5|1|1|2|216|3|1|1|0|1|1|0|0|0|0|0|0
29280206001|3|2|2|0|0|2|0|0|1|1|1|2|3|2|2|1|5|1|1|5|462|3|1|1|0|1|1|0|0|1|1|0|0
29280206101|3|2|1|0|1|1|0|0|1|1|1|2|3|2|2|1|5|1|2|2|110|10|1|2|0|2|0|0|0|0|0|0|0
29280206201|3|1|1|0|0|0|0|0|1|1|1|1|3|2|2|1|5|1|1|2|315|3|1|1|0|0|2|0|0|0|0|0|0
29280206301|3|7|3|2|2|1|0|0|1|1|1|2|3|2|1|1|1|1|2|7|1164|3|1|1|0|2|6|0|1|0|0|0|0
29280206401|3|12|12|0|0|4|0|0|1|2|1|2|3|1|1|1|1|1|1|9|1361|10|1|1|5|2|9|0|1|0|0|0|0
29280206403|3|6|6|0|0|2|0|0|1|1|1|2|3|2|2|1|1|1|1|10|456|3|1|1|0|1|5|0|1|0|0|0|0
29280206501|3|8|6|0|2|3|0|4|1|1|1|2|3|1|1|1|1|1|1|8|3010|3|1|1|4|1|6|0|1|1|0|0|0
29280206601|3|2|2|0|0|2|0|0|1|1|1|2|3|2|1|1|1|1|2|2|120|3|1|1|0|2|1|0|0|0|0|0|0
29280206602|3|5|3|2|0|0|0|2|1|1|1|2|3|2|1|1|1|1|1|5|995|3|1|1|1|1|3|0|1|0|0|0|0
29280206801|3|2|2|0|0|1|0|0|1|1|1|2|3|2|2|1|1|1|1|2|30|10|1|1|0|0|2|0|0|0|0|0|0
29280206901|3|7|2|0|0|7|0|0|1|1|1|2|3|2|1|1|4|1|2|6|1741|3|1|2|0|1|5|0|1|0|0|0|0
29280207001|3|6|3|1|2|0|0|0|1|1|1|2|3|2|2|1|1|1|2|7|3421|3|1|1|5|3|3|0|1|0|0|0|0
29280207301|3|9|9|0|0|4|0|0|1|1|1|2|3|2|1|1|2|1|1|1|3960|4|2|1|5|2|9|0|1|1|1|0|0
29280207302|3|3|3|0|0|2|0|0|1|1|1|2|3|2|2|1|3|1|2|3|754|3|1|2|0|1|3|0|0|0|0|0|0
29280207401|3|2|2|0|0|1|0|0|1|1|1|2|3|2|2|1|7|1|2|2|0|3|1|2|0|1|1|0|0|0|0|0|0
29280207404|3|19|19|0|0|3|0|0|1|3|3|2|3|1|1|1|1|1|2|20|1220|3|1|1|13|7|11|0|1|1|0|0|0
