School_Code|Building_Status|Tot_Clrooms|Classrooms_in_Good_Condition|Classrooms_require_major_repair|Classrooms_require_minor_repair|Other_rooms_in_Good_Cond|Other_rooms_need_major_rep|Other_rooms_need_minor_rep|Toilet_Common|Toilet_Boys|Toilet_Girls|Kitchen_Devices_Grant|Status_of_MDM|Computer_Aided_Learnin_Lab|Separate_Room_for_HeadMaster|Electricity|Boundary_Wall|Library_YN|PlayGround|Blackboard|Books_in_library|Drinking_Water|Medical_Checkup|Ramps|No_of_Computers|Male_Tch|Female_Tch|NoResp_Tch|Head_Teacher|Graduate_Teachers|Tch_with_professional_Qualification|Days_involved_in_non_tch_assgn|Teachers_involved_in_non_tch_assgn
29210100101|3|2|2|0|0|0|0|1|1|0|0|1|3|2|2|1|1|1|2|2|273|3|1|1|0|1|1|0|0|0|0|0|0
29210100102|3|1|1|0|0|0|0|0|1|0|0|1|3|2|2|1|5|1|2|1|365|3|1|2|0|1|1|0|0|0|0|0|0
29210100103|3|1|1|0|0|0|0|0|1|0|0|1|2|2|2|1|1|1|2|1|50|3|1|1|0|0|1|0|0|0|0|0|0
29210100201|3|2|2|0|0|0|0|0|0|1|1|1|2|2|2|1|5|1|2|2|386|3|1|1|0|2|0|0|0|0|0|3|1
29210100301|3|2|2|0|0|0|0|0|1|0|0|1|2|2|2|1|1|1|2|2|200|3|1|1|0|0|2|0|0|0|0|0|0
29210100401|3|2|2|0|0|0|0|0|0|1|1|1|2|2|2|1|5|1|2|2|75|3|2|1|0|0|1|0|0|0|0|0|0
29210100501|3|4|3|1|0|1|0|0|0|1|1|1|2|2|1|1|2|1|2|5|1850|3|1|1|2|3|1|0|1|0|0|0|0
29210100601|3|1|1|0|0|0|0|0|1|0|0|1|2|2|2|1|8|1|2|1|40|3|1|1|0|1|0|0|0|0|0|0|0
29210100701|3|5|1|3|1|0|2|0|0|2|2|1|2|2|2|1|5|1|2|7|890|3|1|1|0|3|1|0|1|0|0|2|1
29210100702|3|2|2|0|0|0|0|0|1|0|0|1|2|2|2|1|5|1|2|1|168|3|1|1|0|0|1|0|0|0|0|0|0
29210100801|3|7|3|2|0|0|0|0|0|1|1|1|2|2|1|1|1|1|1|7|2234|3|1|1|0|4|3|0|1|0|0|50|7
29210100802|3|1|1|0|0|0|0|0|1|0|0|1|2|2|2|1|3|1|2|1|55|3|1|2|0|0|1|0|0|0|0|0|0
29210100901|3|1|0|0|1|0|0|0|1|0|0|1|2|2|2|1|5|1|2|1|399|3|1|2|0|2|0|0|0|0|0|0|0
29210101001|3|5|5|0|0|0|0|0|1|0|0|1|2|2|2|1|4|1|2|5|1627|3|1|1|0|4|0|0|1|0|0|0|0
29210101002|3|1|1|0|0|0|0|0|1|0|0|1|2|2|2|1|5|1|2|1|140|3|1|2|0|1|0|0|0|0|0|0|0
29210101003|3|1|1|0|0|0|0|0|1|0|0|1|2|2|2|1|5|1|2|1|35|1|1|2|0|1|0|0|0|0|0|0|0
29210101101|3|4|2|0|0|0|0|0|0|1|1|1|2|2|2|1|3|1|2|4|825|1|1|1|0|3|1|0|1|0|0|10|3
29210101201|3|4|2|0|2|0|0|0|1|0|0|1|3|2|2|1|5|1|2|4|2326|3|1|1|0|4|0|0|1|0|0|0|0
29210101301|3|4|0|0|1|0|0|0|1|0|0|1|2|2|2|1|5|1|1|4|1045|3|1|1|0|1|3|0|1|0|0|2|1
29210101302|3|2|2|0|0|0|0|0|0|1|1|1|2|2|2|1|5|1|2|2|136|3|1|2|0|1|1|0|0|0|0|0|0
29210101303|3|2|2|0|0|0|0|0|1|0|0|1|2|2|2|1|1|1|2|2|50|3|1|1|0|2|0|0|0|0|0|0|0
29210101304|3|2|2|0|0|0|0|0|1|0|0|1|2|2|2|1|4|1|2|2|250|3|1|1|0|1|1|0|0|0|0|0|0
29210101401|3|2|2|0|0|1|0|0|1|0|0|1|2|2|2|1|8|1|2|2|265|3|1|2|0|1|1|0|0|0|0|0|0
29210101402|3|2|2|0|0|0|0|0|1|0|0|1|2|2|2|1|5|1|2|4|120|3|1|2|0|2|0|0|0|0|0|0|0
29210101501|3|7|5|0|1|4|0|0|1|2|2|1|2|3|1|1|7|1|1|11|2600|3|1|1|5|2|7|0|1|0|0|0|0
29210101502|3|2|2|0|0|0|0|0|0|1|1|1|2|2|2|1|1|1|2|2|10|3|1|1|0|2|2|0|0|0|0|0|0
29210101601|3|6|6|0|0|0|0|0|1|1|1|1|3|2|2|1|3|1|1|6|1476|4|1|1|0|2|2|0|1|4|0|0|0
29210101701|3|5|0|4|0|0|0|1|0|2|2|1|3|2|2|1|6|1|1|5|2515|3|1|1|3|2|2|0|1|0|0|0|0
29210101702|3|3|2|0|0|0|0|0|2|0|0|1|2|2|2|1|1|1|2|5|278|3|1|1|0|2|1|0|0|0|0|6|3
29210101801|3|4|1|0|3|0|0|1|0|1|1|1|2|2|1|1|5|1|2|4|1232|3|9|1|0|3|1|0|1|0|0|0|0
29210101802|3|1|1|0|0|0|0|0|1|0|0|1|2|2|2|1|6|1|2|1|30|3|1|2|0|2|0|0|0|0|0|0|0
