School_Code|Building_Status|Tot_Clrooms|Classrooms_in_Good_Condition|Classrooms_require_major_repair|Classrooms_require_minor_repair|Other_rooms_in_Good_Cond|Other_rooms_need_major_rep|Other_rooms_need_minor_rep|Toilet_Common|Toilet_Boys|Toilet_Girls|Kitchen_Devices_Grant|Status_of_MDM|Computer_Aided_Learnin_Lab|Separate_Room_for_HeadMaster|Electricity|Boundary_Wall|Library_YN|PlayGround|Blackboard|Books_in_library|Drinking_Water|Medical_Checkup|Ramps|No_of_Computers|Male_Tch|Female_Tch|NoResp_Tch|Head_Teacher|Graduate_Teachers|Tch_with_professional_Qualification|Days_involved_in_non_tch_assgn|Teachers_involved_in_non_tch_assgn
29200100119|3|6|0|0|6|1|0|0|0|1|2|1|2|2|1|1|1|1|2|2|200|3|1|1|1|0|1|0|0|0|0|0|0
29200100120|3|2|2|0|0|1|0|0|1|1|1|1|2|2|2|1|1|1|2|4|317|3|1|1|1|2|0|0|0|0|0|0|0
29200100121|3|3|3|0|0|0|0|0|0|1|1|1|3|2|2|1|3|1|2|3|68|3|1|1|1|1|2|0|0|0|0|0|0
29200100122|3|9|4|1|3|0|0|4|0|3|3|1|3|1|1|1|1|1|1|8|3154|3|1|1|7|3|10|0|0|1|0|0|0
29200100123|2|5|5|0|0|1|0|0|1|1|1|2|1|1|1|1|3|1|1|6|1000|3|1|1|2|1|4|0|0|0|0|0|0
29200100124|2|24|24|0|0|2|0|0|1|1|2|2|1|1|1|1|1|1|1|22|1800|3|1|1|10|2|10|0|1|12|1|0|0
29200100125|2|13|13|0|0|4|0|0|4|5|5|2|1|1|1|1|1|1|1|13|850|3|1|2|6|2|10|0|1|0|0|0|0
29200100129|3|2|2|0|0|2|0|0|0|2|2|1|3|2|2|1|1|1|2|2|200|3|1|1|1|0|1|0|0|0|0|0|0
29200100133|1|13|13|0|0|3|0|0|2|1|1|2|1|1|1|1|1|1|1|16|1500|3|1|2|15|4|8|0|0|0|2|0|0
29200100134|1|28|28|0|0|4|0|0|0|5|5|2|1|1|1|1|1|1|1|30|500|1|2|2|30|2|9|0|0|0|0|0|0
29200100135|1|5|5|0|0|1|0|0|1|1|1|2|1|1|1|2|1|1|1|5|100|3|1|2|3|0|6|0|0|0|0|0|0
29200100201|3|1|1|0|0|0|0|0|0|1|1|1|3|2|2|1|5|1|2|2|75|3|1|1|1|0|1|0|0|0|1|1|1
29200100202|3|2|1|0|1|0|0|0|0|1|1|2|3|2|2|1|1|1|2|2|150|3|1|1|1|0|2|0|0|0|0|2|1
29200100203|3|2|1|0|1|0|0|0|0|1|1|1|2|2|2|1|1|1|2|2|300|3|1|1|1|1|0|0|0|0|0|1|1
29200100301|3|2|2|0|0|0|0|0|0|1|1|2|3|2|2|1|1|1|2|4|150|3|1|1|2|1|1|0|0|0|0|1|1
29200100302|3|6|4|2|0|0|0|0|1|3|3|2|3|2|1|1|7|1|1|5|803|4|1|1|5|1|4|0|1|0|0|0|0
29200100303|1|3|3|0|0|2|0|1|5|10|2|2|2|2|1|1|3|1|1|3|3600|3|1|1|1|0|7|0|1|0|0|0|0
29200100304|2|13|13|0|0|5|0|0|2|2|2|2|1|1|1|1|1|1|1|13|1000|1|1|2|10|1|11|0|1|3|1|25|12
29200100305|1|8|8|0|0|3|0|0|0|5|5|2|1|1|1|1|1|1|1|8|270|2|1|2|3|0|7|0|1|0|2|0|0
29200100406|3|2|1|0|1|1|0|0|0|1|1|1|3|2|1|1|1|1|1|3|112|4|1|1|1|1|1|0|0|0|0|0|0
29200100407|3|2|2|0|0|1|0|0|0|1|1|2|3|2|2|1|1|1|1|4|400|3|1|1|1|0|2|0|0|0|0|8|2
29200100501|3|1|1|0|0|1|0|0|0|1|1|2|2|2|2|1|1|1|2|2|200|3|1|1|1|1|0|0|0|0|0|0|0
29200100502|3|2|1|1|0|0|0|1|0|1|1|2|2|2|2|1|1|1|2|4|263|3|1|1|0|2|0|0|0|2|0|0|0
29200100702|3|7|7|0|0|4|0|0|2|2|2|1|3|2|1|1|1|1|2|14|1050|3|1|1|5|2|4|0|0|0|0|0|0
29200100801|3|2|2|0|0|1|0|0|0|1|1|1|3|2|2|1|1|1|2|4|350|3|1|1|0|0|2|0|0|0|0|0|0
29200100802|3|3|0|0|3|0|0|0|0|1|1|1|3|2|1|1|1|1|1|7|480|3|1|1|1|0|2|0|0|0|0|0|0
29200100901|3|2|2|0|0|1|0|0|0|1|1|1|3|2|2|1|5|1|1|4|30|3|1|1|1|1|1|0|0|0|0|0|0
29200100902|3|2|1|1|0|1|0|0|0|1|1|1|3|2|2|1|1|1|2|4|350|3|1|1|1|0|2|0|0|0|0|0|0
29200101101|3|2|1|1|0|1|0|0|0|1|1|1|2|2|2|1|1|1|2|2|263|3|1|1|1|0|2|0|0|0|0|0|0
29200101201|3|2|1|0|0|0|0|0|0|1|1|2|3|2|2|1|1|1|2|1|365|3|1|1|1|1|1|0|0|0|0|0|0
29200101301|3|5|3|0|0|1|0|0|0|1|1|1|3|2|2|1|1|1|2|5|730|3|1|1|0|0|3|0|0|0|0|6|3
29200101401|3|3|0|3|0|0|0|0|0|1|1|1|2|2|1|1|6|1|2|5|250|3|1|1|1|0|2|0|0|0|0|0|0
29200101601|3|3|2|1|0|2|1|0|0|1|1|1|2|2|2|1|1|1|2|4|862|3|1|1|1|0|2|0|0|0|0|0|0
29200101701|3|2|1|1|0|0|0|0|0|1|1|1|3|2|2|1|1|1|2|3|173|4|1|1|1|2|0|0|0|0|0|0|0
29200101901|3|2|2|0|0|0|0|0|1|1|1|1|3|2|2|1|1|1|2|1|150|10|1|1|1|0|2|0|0|0|0|0|0
29200102001|3|3|3|0|0|3|0|0|0|1|1|1|3|2|2|1|1|1|1|6|60|3|1|1|1|2|0|0|0|0|0|0|0
29200102101|3|2|1|1|0|0|0|0|0|1|1|1|3|2|2|1|1|1|1|5|250|3|1|1|1|2|0|0|0|0|0|20|2
29200102218|1|24|12|0|0|3|0|0|4|1|1|2|1|1|1|1|1|1|1|10|6600|10|1|2|30|7|10|0|1|0|0|12|4
29200102219|3|4|4|0|0|1|0|0|0|1|1|1|3|2|2|1|1|1|2|5|1562|3|1|1|0|0|4|0|1|0|0|0|0
29200102220|3|2|0|0|1|0|0|0|0|1|1|1|3|2|2|1|5|1|2|3|100|3|1|1|0|0|2|0|0|0|0|0|0
29200102221|3|2|0|0|2|0|0|0|0|2|2|1|3|2|2|1|1|1|2|2|60|3|1|1|0|0|3|0|0|0|0|0|0
29200102223|3|11|3|0|8|0|0|1|0|2|2|1|3|1|1|1|1|1|2|13|1500|4|1|1|6|2|10|0|1|0|0|0|0
29200102225|1|14|14|0|0|10|0|0|0|1|0|2|2|2|1|1|1|1|1|14|3000|3|1|2|20|1|14|0|0|0|0|0|0
29200102226|1|10|7|0|0|1|0|0|1|4|4|2|1|1|1|1|3|1|1|10|1000|4|1|1|8|1|6|0|0|1|0|0|0
29200102234|1|7|7|0|0|4|0|0|1|5|5|2|1|1|1|1|1|1|1|8|6000|3|1|2|40|3|4|0|1|0|1|0|0
