District_Name|School_Code|School_Name|Block_Name|Cluster_Name|Village_Name|Pincode
BANGALORE SOUTH|29200100119|GLPS BASAVANAPALYA|SOUTH1|TAVAREKERE|TAVAREKERE|562130
BANGALORE SOUTH|29200100120|GLPS CHIKKAVEERAIAHNA PALYA|SOUTH1|TAVAREKERE|TAVAREKERE|562130
BANGALORE SOUTH|29200100121|GULPS TAVAREKERE|SOUTH1|TAVAREKERE|TAVAREKERE|562130
BANGALORE SOUTH|29200100122|GHPS TAVAREKERE|SOUTH1|TAVAREKERE|TAVAREKERE|562130
BANGALORE SOUTH|29200100123|SRUSHTI PUBLIC SCHOOL KUVEMPUN|SOUTH1|TAVAREKERE|TAVAREKERE|562130
BANGALORE SOUTH|29200100124|ST. MARTHAS TAVAREKERE|SOUTH1|TAVAREKERE|TAVAREKERE|562130
BANGALORE SOUTH|29200100125|M E S CONVENT S P G COLONY|SOUTH1|TAVAREKERE|TAVAREKERE|562130
BANGALORE SOUTH|29200100129|GLPS GANAKALLU|SOUTH1|TAVAREKERE|TAVAREKERE|562130
BANGALORE SOUTH|29200100133|S.V.S HIGH SCHOOL|SOUTH1|SUNKADA KATTE JANATHA COL|TAVAREKERE|562130
BANGALORE SOUTH|29200100134|V.E.S. MODEL CONVENT TAVEREKER|SOUTH1|TAVAREKERE|TAVAREKERE|562130
BANGALORE SOUTH|29200100135|ANNAPOORNESHWARI PUBLIC SCHOOL,|SOUTH1|TAVAREKERE|TAVAREKERE|562130
BANGALORE SOUTH|29200100201|GLPS CHANNADASI PALYA|SOUTH1|SUNKADA KATTE JANATHA COL|KURUBARAHALLI|562130
BANGALORE SOUTH|29200100202|GLPS KURUBARA HALLI|SOUTH1|SUNKADA KATTE JANATHA COL|KURUBARAHALLI|562130
BANGALORE SOUTH|29200100203|GLPS PUTTAIAHNA PALYA|SOUTH1|SUNKADA KATTE JANATHA COL|KURUBARAHALLI|562130
BANGALORE SOUTH|29200100301|GLPS JATTIPALYA|SOUTH1|SUNKADA KATTE JANATHA COL|CHANNENAHALLI|562130
BANGALORE SOUTH|29200100302|GHPS CHANNENAHALLI|SOUTH1|SUNKADA KATTE JANATHA COL|CHANNENAHALLI|562130
BANGALORE SOUTH|29200100303|JNANASEVA CHANNENAHALLI|SOUTH1|SUNKADA KATTE JANATHA COL|CHANNENAHALLI|562130
BANGALORE SOUTH|29200100304|EMBASSY PUBLIC SCHOOL|SOUTH1|SUNKADA KATTE JANATHA COL|CHANNENAHALLI|562130
BANGALORE SOUTH|29200100305|JNANA GANGA INTERNATIONAL SCHOOL|SOUTH1|SUNKADA KATTE JANATHA COL|CHANNENAHALLI|562130
BANGALORE SOUTH|29200100406|GLPS GIDADAPALYA|SOUTH1|SUNKADA KATTE JANATHA COL|YELACHAGUPPE|562130
BANGALORE SOUTH|29200100407|GLPS YALACHAGUPPE|SOUTH1|SUNKADA KATTE JANATHA COL|YELACHAGUPPE|562130
BANGALORE SOUTH|29200100501|GLPS HALUBHAVIPALYA|SOUTH1|SUNKADA KATTE JANATHA COL|MUDDAIAHNAPALYA|560060
BANGALORE SOUTH|29200100502|GLPS MUDDIAHNA PALYA|SOUTH1|SUNKADA KATTE JANATHA COL|MUDDAIAHNAPALYA|560060
BANGALORE SOUTH|29200100702|GHPS CHOLANAYAKANA HALLI|SOUTH1|TAVAREKERE|CHOLANAYAKANAHALLI|562120
BANGALORE SOUTH|29200100801|GLPS GANGAPPANA HALLI|SOUTH1|TAVAREKERE|GANGAPPANAHALLI|562120
BANGALORE SOUTH|29200100802|GLPS VADA HALLI|SOUTH1|TAVAREKERE|GANGAPPANAHALLI|562120
BANGALORE SOUTH|29200100901|GLPS KEMPAGONDANA HALLI|SOUTH1|TAVAREKERE|KEMPAGONDANA HALLI|562120
BANGALORE SOUTH|29200100902|GLPS YALLAPPANA PALYA|SOUTH1|TAVAREKERE|KEMPAGONDANA HALLI|562120
