District_Name|School_Code|School_Name|Block_Name|Cluster_Name|Village_Name|Pincode
BANGALORE NORTH|29280200102|GLPS ASHOKPURA SLUM|NORTH1|KRISHNANANDA NAGAR|MAHALASKMIPURA W NO 10|560022
BANGALORE NORTH|29280200403|GHPS JUGANA HALLI|NORTH1|SHIVA NAGAR|RAJAJI NAGARA WARD NO 15|560010
BANGALORE NORTH|29280200405|GLPS INDIRANAGARA|NORTH1|SHIVA NAGAR|RAJAJI NAGARA WARD NO 15|560010
BANGALORE NORTH|29280200406|GULPS INDIRA NAGARA COLONY|NORTH1|SHIVA NAGAR|RAJAJI NAGARA WARD NO 15|560010
BANGALORE NORTH|29280200407|GHPS 2ND BLOCK RAJAJINAGAR|NORTH1|SHIVA NAGAR|RAJAJI NAGARA WARD NO 15|560010
BANGALORE NORTH|29280200603|GHPS POLICE COLONY|NORTH1|KAMAKSHI PALYA|WARD NO 21|560023
BANGALORE NORTH|29280201203|GMPS HERO HALLI|NORTH1|BYADARA HALLI|HEEROHALLI|560091
BANGALORE NORTH|29280201301|GHPS GIDADAKONENA HALLI|NORTH1|BYADARA HALLI|GIDADAKONENA HALLI|560091
BANGALORE NORTH|29280201501|GLPS MUDDAYYANA PALYA|NORTH1|BYADARA HALLI|MUDDAYYANA PALYA|560091
BANGALORE NORTH|29280201601|GLPS ANJANA NAGAR|NORTH1|BYADARA HALLI|ANJANANAGAR|560091
BANGALORE NORTH|29280201701|GHPS BYADARA HALLI|NORTH1|BYADARA HALLI|BYADARA HALLI|560091
BANGALORE NORTH|29280201802|GMPS ANDARA HALLI|NORTH1|BYADARA HALLI|ANDARA HALLI|560091
BANGALORE NORTH|29280201902|GHPS CHIKKAGOLLARA HATTI|NORTH1|MACHO HALLI|CHIKKAGOLLARA HATTI|560091
BANGALORE NORTH|29280202001|GHPS TIGALARA PALYA|NORTH1|CHIKKABIDARA KALLU|TIGALARAPALYA|560058
BANGALORE NORTH|29280202101|GLPS KARIVABANA HALLI|NORTH1|CHIKKABIDARA KALLU|KARIVABANA HALLI|560073
BANGALORE NORTH|29280202401|GLPS MANGANA HALLI|NORTH1|ULLAU NEW TOWN|MANGANA HALLI|560060
BANGALORE NORTH|29280202601|GHPS KANNA HALLI|NORTH1|ULLAU NEW TOWN|KANNA HALLI|560056
BANGALORE NORTH|29280202701|GLPS GOLLARAPALYA|NORTH1|ULLAU NEW TOWN|GOLLARAPALYA|560091
BANGALORE NORTH|29280202804|GMPS LAGGERE|NORTH1|LAGGERE|LAGGERE WARD NO 30|560058
BANGALORE NORTH|29280202813|GHPS SANJAYAGANDHI NAGAR|NORTH1|LAGGERE|LAGGERE WARD NO 30|560096
BANGALORE NORTH|29280202837|GULPS CHAMUNDIPURA|NORTH1|LAGGERE|LAGGERE WARD NO 30|560058
BANGALORE NORTH|29280202902|GLPS RAJAGOPALA NAGAR|NORTH1|LAGGERE|RAJGOPAL NAGARA WARD NO|560058
BANGALORE NORTH|29280202911|GLPS SIDDARTHANAGARA|NORTH1|HEGGANA HALLI|RAJGOPAL NAGARA WARD NO|560091
BANGALORE NORTH|29280203006|GKLPS LAKSHMIDEVINAGAR|NORTH1|LAGGERE|LAKSHMIDEVINAGAR WARD NO|560096
BANGALORE NORTH|29280203104|GMPS PEENYA|NORTH1|PEENYA|PEENYA WARD NO 11|560058
BANGALORE NORTH|29280203121|G L P S ASHRAYA NAGAR (NEW)|NORTH1|PEENYA|PEENYA WARD NO 11|560058
BANGALORE NORTH|29280203205|GHPS MULAGAL VALY|NORTH1|KRISHNANANDA NAGAR|NANDINI LAYOUT WARD NO 12|560096
BANGALORE NORTH|29280203306|GHPS KURUBARAHALLI|NORTH1|KURUBARA HALLI|KAMALANAGAR WARD NO 16|560086
BANGALORE NORTH|29280203308|GLPS MAHATHMAGANDHI NAGAR|NORTH1|KURUBARA HALLI|KAMALANAGAR WARD NO 16|560086
BANGALORE NORTH|29280203309|GMPS KAMALANAGAR|NORTH1|KURUBARA HALLI|KAMALANAGAR WARD NO 16|560079
BANGALORE NORTH|29280203310|GUHPS KURUBARAHALLI|NORTH1|KURUBARA HALLI|KAMALANAGAR WARD NO 16|560086
BANGALORE NORTH|29280203337|GLPS KAMALANAGAR SLUM|NORTH1|KURUBARA HALLI|KAMALANAGAR WARD NO 16|560079
BANGALORE NORTH|29280203407|GLPS VRUSHABHAVATHI NAGAR|NORTH1|KAMAKSHI PALYA|VRUSHABHAVATHI NAGAR WARD|560079
BANGALORE NORTH|29280203504|GMPS KAMAKSHIPALYA|NORTH1|KAMAKSHI PALYA|KAMAKSHIPALYA WARD NO 18|560079
BANGALORE NORTH|29280203701|GHPS KADABAGERE|NORTH1|MACHO HALLI|KADABAGERE|562130
BANGALORE NORTH|29280203801|GHPS ARKAVATINAGAR|NORTH1|MACHO HALLI|ARKAVATINAGAR|562130
BANGALORE NORTH|29280203901|GHPS MACHO HALLI|NORTH1|MACHO HALLI|MACHO HALLI|560091
BANGALORE NORTH|29280203903|GKLPS MACHOHALLI COLONY|NORTH1|MACHO HALLI|MACHO HALLI|560091
BANGALORE NORTH|29280203910|GLPS VADDERA HALLI|NORTH1|MACHO HALLI|MACHO HALLI|562130
BANGALORE NORTH|29280203911|GHPS MALLASANDRA|NORTH1|SONDEKOPPA|MACHO HALLI|560091
BANGALORE NORTH|29280204001|GHPS K G LAKKENA HALLI|NORTH1|MACHO HALLI|K G LAKKENA HALLI|562123
BANGALORE NORTH|29280204201|GLPS GIDDENA HALLI|NORTH1|MACHO HALLI|GIDDENA HALLI|562130
BANGALORE NORTH|29280204301|GLPS GARUDACHR PALYA|NORTH1|MACHO HALLI|GARUDACHAR PALYA|562130
BANGALORE NORTH|29280204401|GLPS BYLAKONENA HALLI|NORTH1|MACHO HALLI|BYLAKONENA HALLI|562130
