1,Nippani,INC,KAKASO PANDURANG PATIL
2,Chikkodi-Sadalga,INC,HUKKERI PRAKASH BABANNA
3,Athani,BJP,LAXMAN SANGAPPA SAVADI
4,Kagwad,BJP,BHARAMGOUDA ALAGOUDA KAGE
5,Kudachi,INC,GHATAGE SHAMA BHIMA
6,Raybag,BJP,AIHOLE DURYODHAN MAHALINGAPPA
7,Hukkeri,JD(S),UMESH VISHWANATH KATTI
8,Arabhavi,JD(S),BALACHANDRA LAXMANRAO JARAKIHOLI
9,Gokak,INC,JARKIHOLI RAMESH LAXMANRAO
10,Yemkanmardi,INC,JARAKIHOLI SATISH LAXMANARAO
11,Belgaum Uttar,INC,FEROZ NURUDDIN SAIT
12,Belgaum Dakshin,BJP,ABHAY PATIL
13,Belgaum Rural,BJP,SANJAY B PATIL
14,Khanapur,BJP,PRALHAD REMANI
15,Kittur,BJP,MARIHAL SURESH SHIVARUDRAPPA
16,Bailhongal,BJP,METGUD VIRUPAXI (JAGADISH) CHANNAPPA
17,Saundatti Yellamma,BJP,MAMANI VISHWANATH CHANDRASHEKAR
18,Ramdurg,INC,ASHOK MAHADEVAPPA PATTAN
19,Mudhol,BJP,GOVIND.M.KARJOL
20,Terdal,BJP,SIDDU. SAVADI
21,Jamkhandi,BJP,KULKARNI SHRIKANTH SUBBRAO.
22,Bilgi,BJP,MURUGESH RUDRAPPA NIRANI
23,Badami,BJP,MAHAGUNDAPPA KALLAPPA PATTANSHETTI
24,Bagalkot,BJP,CHARANTIMATH VIRANNA CHANDRASHEKHARAYYA.
25,Hungund,BJP,DODDANAGOUDA G PATIL
26,Muddebihal,INC,APPAJI CHANNABASAVARAJ SHANKARARAO NADAGOUDA
27,Devar Hippargi,INC,A.S.PATIL (NADAHALLI)
28,Basavana Bagevadi,BJP,BELLUBBI SANGAPPA KALLAPPA
29,Babaleshwar,INC,M.B.PATIL
30,Bijapur City,BJP,APPASAHEB (APPU) MALLAPPA PATTANASHETTI
31,Nagthan,BJP,KATAKDHOND VITTHAL DHONDIBA
32,Indi,BJP,DR BAGALI SARVABHOUM SATAGOUDA
33,Sindgi,BJP,BHUSANUR RAMESH BALAPPA
34,Afzalpur,INC,MALIKAYYA V. GUTTEDAR
35,Jevargi,BJP,DODDAPPAGOUDA SHIVALINGAPPAGOUD PATIL NARIBOL
36,Shorapur,BJP,NARASIMHA NAYAK (RAJU GOUDA)
37,Shahapur,INC,SHARANABASAPPA DARSHNAPUR
38,Yadgir,INC,A.B. MAALAKRADDY
39,Gurmitkal,INC,BABURAO CHINCHANSUR
40,Chittapur,BJP,VALMIKID NAYAK
41,Sedam,INC,DR. SHARAN PRAKASH RUDRAPPA PATIL
