Ward_No,Ward_Name,AC_No,AC_Name,Lat,Long
1,Kempe Gowda,150,Yelhanka,13.1145,77.6001
2,Choudeshwari,150,Yelhanka,13.1203,77.5811
3,Atooru,150,Yelhanka,13.1023,77.5618
4,Yelahanka Satellite Town,150,Yelhanka,13.0909,77.5845
5,Jakkur,152,Byatarayanapura,13.1029,77.6293
6,Thanisandra,152,Byatarayanapura,13.0563,77.6237
7,Byatarayanapura,152,Byatarayanapura,13.0617,77.5973
8,Kodigehalli,152,Byatarayanapura,13.0539,77.579
9,Vidyaranyapura,152,Byatarayanapura,13.0768,77.5697
10,Doddabommasandra,152,Byatarayanapura,13.0569,77.5587
11,Kuvempu Nagar,152,Byatarayanapura,13.0716,77.5425
12,Shettihalli,155,Dasarahalli,13.0664,77.5203
13,Mallasandra,155,Dasarahalli,13.0545,77.5151
14,Bagalakunte,155,Dasarahalli,13.0583,77.5006
15,T. Dasarahalli,155,Dasarahalli,13.0453,77.5147
16,Jalahalli,154,Rajarajeshwari Nagar,13.0464,77.5394
17,J.P. Park,154,Rajarajeshwari Nagar,13.0368,77.5529
18,Radha Krishna Temple,158,Hebbal,13.0383,77.5705
19,Sanjaynagar,158,Hebbal,13.0394,77.5778
20,Ganganagar,158,Hebbal,13.0327,77.5863
21,Hebbal,158,Hebbal,13.0341,77.593
22,Vishwanatha Nagenahalli,158,Hebbal,13.0353,77.6037
23,Nagawara,160,Sarvagna Nagar,13.0315,77.6167
24,H.B.R. Layout,160,Sarvagna Nagar,13.0323,77.6303
25,Horamavu,151,K R Puram,13.0436,77.6542
26,Ramamurthynagar,151,K R Puram,13.0329,77.6771
27,Banaswadi,160,Sarvagna Nagar,13.0147,77.6488
28,Kammanahalli,160,Sarvagna Nagar,13.0084,77.636
29,Kacharakanahalli,160,Sarvagna Nagar,13.0195,77.634
30,Kadugondanahalli,160,Sarvagna Nagar,13.0156,77.6199
31,Kushalnagar,159,Pulikeshinagar,13.0163,77.615
32,Kavalbyrasandra,159,Pulikeshinagar,13.0264,77.6086
33,Manorayanapalya,158,Hebbal,13.0269,77.5973
34,Gangenahalli,158,Hebbal,13.018,77.5887
35,Aramane Nagar,157,Malleshwaram,13.0154,77.577
36,Mathikere,157,Malleshwaram,13.0329,77.5611
37,Yeshwanthpur,154,Rajarajeshwari Nagar,13.026,77.5539
38,HMT,154,Rajarajeshwari Nagar,13.032,77.5316
39,Chokkasandra,155,Dasarahalli,13.0378,77.5069
40,Doddabidarakallu,153,Yeshwantpur,13.0184,77.486
41,Peenya Industrial Area,155,Dasarahalli,13.021,77.5087
42,Lakshmidevi Nagar,154,Rajarajeshwari Nagar,13.0206,77.5325
43,Nandini Layout,156,Mahalakshmi Layout,13.0135,77.5342
44,Marappanapalya,156,Mahalakshmi Layout,13.0175,77.5461
45,Malleswaram,157,Malleshwaram,13.0142,77.5616
46,J.C. Nagar,158,Hebbal,13.0172,77.5959
47,Devarajeevanahalli,159,Pulikeshinagar,13.0155,77.6027
48,Muneshwaranagar,159,Pulikeshinagar,13.0142,77.611
49,Lingarajapur,160,Sarvagna Nagar,13.01,77.6269
50,Benniganahalli,161,C V Raman Nagar,12.9995,77.6517
51,Vijnanapur,151,K R Puram,13.0061,77.6695
52,K.R. Puram,151,K R Puram,13.0183,77.6993
53,Basavanapura,151,K R Puram,13.0179,77.717
54,Hoody,174,Mahadevapura,13.0538,77.6668
55,Devasandra,151,K R Puram,13.0017,77.6893
56,A. Narayanapura,151,K R Puram,12.9945,77.6724
57,C.V. Raman Nagar,161,C V Raman Nagar,12.9839,77.6651
58,New Tippasandra,161,C V Raman Nagar,12.9765,77.6566
59,Maruthi Sevanagar,160,Sarvagna Nagar,12.9999,77.6301
60,Sagayapuram,159,Pulikeshinagar,13.0056,77.6168
61,S.K. Garden,159,Pulikeshinagar,13.0054,77.607
62,Ramaswamypalya,162,Shivaji Nagar,13.006,77.5991
63,Jayamahal,162,Shivaji Nagar,12.9952,77.5999
64,Rajamahal Guttahalli,157,Malleshwaram,13.0014,77.5791
65,Kadu Malleswaram,157,Malleshwaram,13.0024,77.5685
66,Subramanyanagar,157,Malleshwaram,13.007,77.5571
67,Nagapura,156,Mahalakshmi Layout,13.0041,77.5481
68,Mahalakshmipuram,156,Mahalakshmi Layout,13.0074,77.54
69,Laggere,154,Rajarajeshwari Nagar,13.0077,77.5241
70,Rajagopalanagar,155,Dasarahalli,13.0062,77.5122
71,Heggenahalli,155,Dasarahalli,13.0002,77.5015
72,Herohalli,153,Yeshwantpur,12.9819,77.4876
73,Kottigepalya,154,Rajarajeshwari Nagar,12.9826,77.5142
74,Shaktiganapatinagar,156,Mahalakshmi Layout,12.9949,77.5318
75,Shankaramath,156,Mahalakshmi Layout,12.9999,77.5344
76,Gayathrinagar,157,Malleshwaram,12.9974,77.5605
77,Dattatreya Temple,164,Gandhi Nagar,12.9966,77.5741
78,Pulikeshinagar,159,Pulikeshinagar,12.9954,77.6118
79,Sarvajna Nagar,161,C V Raman Nagar,12.9892,77.631
80,Hoysala Nagar,161,C V Raman Nagar,12.978,77.639
81,Vigyan Nagar,151,K R Puram,12.9786,77.6815
82,Garudacharpalya,174,Mahadevapura,12.9857,77.7175
83,Kadugodi,174,Mahadevapura,12.9899,77.7579
84,Hagadooru,174,Mahadevapura,12.9658,77.7483
85,Doddanakundi,174,Mahadevapura,12.9682,77.7073
86,Marathhalli,174,Mahadevapura,12.9508,77.6916
87,HAL Airport,151,K R Puram,12.9564,77.6711
88,Jeevan Bima Nagar,161,C V Raman Nagar,12.9643,77.6505
89,Jogupalya,163,Shanti Nagar,12.9737,77.6326
90,Ulsoor,162,Shivaji Nagar,12.9797,77.6198
91,Bharati Nagar,162,Shivaji Nagar,12.987,77.611
92,Shivajinagar,162,Shivaji Nagar,12.9888,77.6058
93,Vasanthanagar,162,Shivaji Nagar,12.9892,77.5858
94,Gandhinagar,164,Gandhi Nagar,12.9814,77.5757
95,Subhashnagar,164,Gandhi Nagar,12.9826,77.5687
96,Okalipuram,164,Gandhi Nagar,12.9828,77.5638
97,Dayanandanagar,165,Rajaji Nagar,12.991,77.5643
98,Prakashnagar,165,Rajaji Nagar,12.9931,77.5583
99,Rajajinagar,165,Rajaji Nagar,12.9946,77.5502
100,Basaveshwaranagar,165,Rajaji Nagar,12.9908,77.5421
101,Kamakshipalya,165,Rajaji Nagar,12.9868,77.5339
102,Vrushabhavatinagar,156,Mahalakshmi Layout,12.9895,77.5259
103,Kaveripura,166,Govindraj Nagar,12.9797,77.5249
104,Govindarajanagar,166,Govindraj Nagar,12.9771,77.5367
105,Agrahara Dasarahalli,166,Govindraj Nagar,12.9805,77.5415
106,Dr. Rajkumar,166,Govindraj Nagar,12.9797,77.5485
107,Shivanagar,165,Rajaji Nagar,12.9885,77.5495
108,Srirama Mandir,165,Rajaji Nagar,12.9839,77.5559
109,Chikpet,164,Gandhi Nagar,12.9705,77.5773
110,Sampangiramanagar,162,Shivaji Nagar,12.9768,77.5954
111,Shantala Nagar,163,Shanti Nagar,12.9699,77.6064
112,Domlur,163,Shanti Nagar,12.9634,77.638
113,Konena Agrahara,161,C V Raman Nagar,12.9558,77.6522
114,Agaram,163,Shanti Nagar,12.9446,77.6387
115,Vannarpet,163,Shanti Nagar,12.9542,77.6188
116,Neelasandra,163,Shanti Nagar,12.9512,77.6143
117,Shantinagar,163,Shanti Nagar,12.9574,77.6037
118,Sudhamanagar,169,Chikpet,12.9593,77.5862
119,Dharmaraya Swamy,169,Chikpet,12.9631,77.5805
120,Cottonpet,164,Gandhi Nagar,12.9703,77.5663
121,Binnypet,164,Gandhi Nagar,12.9721,77.5591
122,Kempapur Agrahara,167,Vijaya Nagar,12.9723,77.5554
123,Vijayanagar,167,Vijaya Nagar,12.972,77.547
124,Hosahalli,167,Vijaya Nagar,12.9677,77.5438
125,Marenahalli,166,Govindraj Nagar,12.9719,77.5329
126,Maruti Temple,166,Govindraj Nagar,12.9667,77.5285
127,Moodalapalya,166,Govindraj Nagar,12.9692,77.5216
128,Nagarbavi,166,Govindraj Nagar,12.9559,77.5193
129,Jnana Bharathi,154,Rajarajeshwari Nagar,12.959,77.5019
130,Ullal,153,Yeshwantpur,12.9456,77.4852
131,Nayandahalli,166,Govindraj Nagar,12.9454,77.5196
132,Attiguppe,167,Vijaya Nagar,12.9581,77.5293
133,Hampi Nagar,167,Vijaya Nagar,12.9599,77.5376
134,Bapujinagar,167,Vijaya Nagar,12.958,77.5432
135,Padarayanapura,168,Chamarajpet,12.9637,77.5489
