CONSTITUENCY;TYPE;LEADINGCANDIDATE;CONSTITUENCYNO;LEADINGPARTY;YEAR;TRAILINGCANDIDATE;STATE;MARGIN;TRAILINGPARTY
AFZALPUR;MLA CONSTITUENCY;MALIKAYYA VENKAYYA GUTTEDAR;34;INDIAN NATIONAL CONGRESS;2013;M.Y.PATIL;KARNATAKA;5238;KARNATAKA JANTHA PAKSHA
ALAND;MLA CONSTITUENCY;BHOJARAJ RAMCHANDRA;46;KARNATAKA JANTHA PAKSHA;2013;SUBHASH RUKMAIAH;KARNATAKA;17114;JANATA DAL (SECULAR)
ANEKAL;MLA CONSTITUENCY;SHIVANNA B.;177;INDIAN NATIONAL CONGRESS;2013;A. NARAYANASWAMY;KARNATAKA;40182;BHARATIYA JANATA PARTY
ARABHAVI;MLA CONSTITUENCY;BALACHANDRA LAXMANRAO JARKIHOLI;8;BHARATIYA JANATA PARTY;2013;UTAGI RAMAPPA KAREPPA;KARNATAKA;75221;INDIAN NATIONAL CONGRESS
ARKALGUD;MLA CONSTITUENCY;MANJU A;198;INDIAN NATIONAL CONGRESS;2013;A.T RAMASWAMY;KARNATAKA;8794;JANATA DAL (SECULAR)
ARSIKERE;MLA CONSTITUENCY;K.M.SHIVALINGE GOWDA;194;JANATA DAL (SECULAR);2013;B.SHIVARAMU;KARNATAKA;29631;INDIAN NATIONAL CONGRESS
ATHANI;MLA CONSTITUENCY;LAXMAN SANGAPPA SAVADI;3;BHARATIYA JANATA PARTY;2013;MAHESH IRANAGOUDA KUMATHALLI;KARNATAKA;23771;INDIAN NATIONAL CONGRESS
AURAD;MLA CONSTITUENCY;PRABHU B. CHAVAN;52;BHARATIYA JANATA PARTY;2013;DHANAJI BHEEMA JADHAV;KARNATAKA;23191;KARNATAKA JANTHA PAKSHA
B.T.M LAYOUT;MLA CONSTITUENCY;RAMALINGAREDDY;172;INDIAN NATIONAL CONGRESS;2013;N. SUDHAKAR;KARNATAKA;49048;BHARATIYA JANATA PARTY
BABALESHWAR;MLA CONSTITUENCY;M.B.PATIL;29;INDIAN NATIONAL CONGRESS;2013;PATIL VIJUGOUDA;KARNATAKA;4355;JANATA DAL (SECULAR)
BADAMI;MLA CONSTITUENCY;CHIMMANAKATTI BALAPPA BHIMAPPA;23;INDIAN NATIONAL CONGRESS;2013;MAHANTESH GURUPADAPPA MAMADAPUR;KARNATAKA;15113;JANATA DAL (SECULAR)
BAGALKOT;MLA CONSTITUENCY;METI HULLAPPA YAMANAPPA;24;INDIAN NATIONAL CONGRESS;2013;CHARANTIMATH VEERANNA CHANDRASHEKHARAYYA;KARNATAKA;2900;BHARATIYA JANATA PARTY
BAGEPALLI;MLA CONSTITUENCY;S.N SUBBAREDDY(CHINNAKAYALAPALLI);140;INDEPENDENT;2013;SRIRAMAREDDY G.V;KARNATAKA;30755;COMMUNIST PARTY OF INDIA (MARXIST)
