'heirarchy','district','proj/block','circle/cluster','ID','SCHOOLNAME','CATEGORY_DESC',' '
'PRESCHOOL','Bangalore','Bangalore State','Yashwanthpura',30510,'KAMALANAGARA 1 SLUM','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Kodigenahalli',31329,'POORNAPURA','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Yalahanka',30590,'JAKKUR LAYOUT 2','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Hreohalli',31022,'HREOHALLI','Anganwadi',' '
'SCHOOL','BANGLORE  ','NORTH-1','KAMAKSHIPALYA',32360,'GKMPS KAMAKSHIPALYA','Upper Primary',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Baglur',31503,'KADUYARAPPANAHALLI','Anganwadi',' '
'PRESCHOOL','Bangalore','Bangalore south(Banashankari)','Kaggalipura',29674,'TO BE DELETED RAUVGODLU','Akshara Balwadi',' '
'PRESCHOOL','Bangalore','Bangalore south(Banashankari)','Kaggalipura',29678,'GANDINAGAR','Anganwadi',' '
'PRESCHOOL','Bangalore','Sumangali seva Ashrama ','Koramangala',31103,'P K R NAGAR(MAYABAZAR)','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Baglur',31538,'SINGAHALLI','Anganwadi',' '
'SCHOOL','BANGLORE  ','SOUTH-1','GANAPATHI HALLI',32108,'GKHPS GANAPATHI HALLI','Upper Primary',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sondekoppa',30996,'ARKAVATHINAGAR','Anganwadi',' '
'SCHOOL','BANGLORE  ','SOUTH-2','CHAMARAJPET',32129,'GTHPS OLD FORT','Upper Primary',' '
'SCHOOL','BANGLORE  ','SOUTH-3','BYARSANDRA',32143,'GKHPS 4TH T BLOCK JAYANAGAR','Upper Primary',' '
'PRESCHOOL','Bangalore','Bangalore central ','Kithuru Rani Channamma 3rd Circle',31458,'ANANDA PURAM 5','Anganwadi',' '
'SCHOOL','BANGLORE  ','SOUTH-3','KONANAKUNTE',32458,'GKLPS SARAKKI AGRAHARA','Lower Primary',' '
'PRESCHOOL','Bangalore','Bangalore central ','Kithuru Rani Channamma 3rd Circle',30440,'SIDDARATHNAGAR','Independent  Balwadi',' '
'PRESCHOOL','Bangalore','Bangalore central ','Netaji 2nd Circle',30441,'PADRAYANPURA 5','Independent  Balwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Bettahalasuru',30856,'BETTAHALASURU 2','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Yalahanka',30872,'BYATARAYANAPURA 2','Anganwadi',' '
'PRESCHOOL','Bangalore','Bangalore south(Banashankari)','K Gollahalli',30699,'K GOLLAHALLI','Anganwadi',' '
'PRESCHOOL','Bangalore','Bangalore south(Banashankari)','Kengeri circle',30947,'DEVARABISANA HALLI','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Kodigenahalli',30584,'HEBBAL','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Bagalu gunte',30777,'MARAMMALAKSHMIDEVASTHANA','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Kodigenahalli',31296,'GEDDALAHALLI','Anganwadi',' '
'PRESCHOOL','Bangalore','Sumangali seva Ashrama ','shakthi',29589,'MODI ROAD MODI MASJEED D J HALLI','Independent  Balwadi',' '
'PRESCHOOL','Bangalore','Sumangali seva Ashrama ','Murphy Town',29660,'ISLAM PURA 1 ST MAIN','Independent  Balwadi',' '
'PRESCHOOL','Bangalore','Bangalore south(Banashankari)','Byrathi',30665,'JODIHUSKURU','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Hesaragatta',30772,'SHIVAKOTE','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',31225,'SEERESANDRA','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Kodigenahalli',31293,'KB SANDRA 2','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Chikkajala',31319,'CHANNAHALLI 1','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',31534,'KARLAPURA PALYA','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Chikkajala',31535,'MEESUGANA HALLI','Anganwadi',' '
'PRESCHOOL','Bangalore','Bangalore central ','Kithuru Rani Channamma 3rd Circle',31432,'GORIPALYA 2ND','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Bettahalasuru',30841,'NARYIANAPURA','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Bettahalasuru',30843,'MUTHUGADAHALLI','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',30859,'RAMAGONDANA HALLI 2','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',34081,'KENCHANAHALLI','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',31217,'CHANNASANDRA','Anganwadi',' '
'PRESCHOOL','Bangalore','Bangalore south(Banashankari)','Begure',29535,'KONAPPANA AGRAHARA','Anganwadi',' '
'PRESCHOOL','Bangalore','Bangalore central ','Sir M Vishweshwariah 1st Circle',34096,'CHOLURPALAYA','Independent  Balwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Kodigenahalli',29579,'TO BE DELETED MODI ROAD MODI MASJEED','Independent  Balwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',33880,'GANTIGANA HALLI','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Kadugondanahalli',33882,'LINGARAJ PURAM 2','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Yalahanka',33885,'AMRUTHHALLI KENDA  2','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Mallasandra',33964,'KALLASTHINAGARA T DASARAHALLI','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Baglur',30858,'BAGLUR COLONY','Anganwadi',' '
'PRESCHOOL','Bangalore','Bangalore south(Banashankari)','Begure',30452,'YEELU KUNTE','Independent  Balwadi',' '
'SCHOOL','BANGLORE  ','SOUTH-1','HOSAKEREHALLI',32739,'GKLPS CHIKKALASANDRA','Lower Primary',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',30724,'KARLAPURA','Anganwadi',' '
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Mahantalingapura',30902,'KULUMEPALYA','Anganwadi',' '
'PRESCHOOL','Bangalore','Bangalore State','Banashankari',30702,'MARIYANAHALLI 2','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Hreohalli',31008,'KENGUNTE  1','Anganwadi',' '
'SCHOOL','BANGLORE  ','SOUTH-1','UTTARA HALLI',32816,'GKHPS CHANDRANAGAR','Upper Primary',' '
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Marasur',33935,'MARASUR GATE TO BE DELETE','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Yalahanka',33948,'MARUTHI NAGAR','Anganwadi',' '
'PRESCHOOL','Bangalore','Bangalore central ','Netaji 2nd Circle',34089,'ARFATH NAGAR','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',33816,'KAMAKSHI PURA','Anganwadi',' '
'PRESCHOOL','Bangalore','Bangalore central ','Gangondanahalli',30411,'AHMED NAGAR','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Bettahalasuru',33639,'TARAHUNASE I','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Baglur',33871,'CHAGALETTI','Anganwadi',' '
'PRESCHOOL','Bangalore','Bangalore central ','Sir M Vishweshwariah 1st Circle',35115,'ARUNDHOTHINAGAR','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Baglur',29710,'MARASANDRA','Anganwadi',' '
'PRESCHOOL','Bangalore','NON NOTIFIED SLUM','YARUB NAGAR',35852,'YARUB NAGAR 1','Akshara Balwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Hreohalli',35329,'HEGGANAHALLI','Independent  Balwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Kadugondanahalli',35342,'D J HALLI I','Anganwadi',' '
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Baglur',31493,'GOPAL PURA 1','Anganwadi',' '
