'TYPE','DISTRICT','BLOCK','CLUSTER','ID','SCHOOLNAME','CATEGORY','MP CONSTITUENCY','MP NAME','MLA CONSTITUENCY','MLA NAME','WARD NAME','REPRESENTATIVE CORPORATER','WARD NO'
'PRESCHOOL','BANGALORE','BANGALORE STATE','YASHWANTHPURA',29628,'N.P BLOCK 2',,'BANGALORE CENTRAL','P C MOHAN','YASHWANTHAPURA','SHOBA KARANDLAJE','YASHWANTHAPURA','MUNIRATHNA',37
'PRESCHOOL','BANGALORE','BANGALORE STATE','YASHWANTHPURA',29666,'SWATANTRAPALYA2',,'BANGALORE CENTRAL','P C MOHAN','YASHWANTHAPURA','SHOBA KARANDLAJE','YASHWANTHAPURA','MUNIRATHNA',37
'PRESCHOOL','BANGALORE','BANGALORE STATE','YASHWANTHPURA',30495,'AMBEDKAR NAGAR 2A',,'BANGALORE CENTRAL','P C MOHAN','YASHWANTHAPURA','SHOBA KARANDLAJE','YASHWANTHAPURA','MUNIRATHNA',37
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KUVEMPUNAGAR 4TH CIRCLE',30992,'SHANKARAMATA (M G SLUM)',,'BANGALORE CENTRAL','P C MOHAN','MAHALAKSHMI LAYOUT','N L NARENDRABABU','MAHALAKSHMIPURAM','KESHAVMURTHY',68
'SCHOOL','BANGLORE  ','BMP-1','BMPCLUSTER',32095,'CPS BROADWAY HAFIZIA ',,'BANGALORE CENTRAL','P C MOHAN','SHIVAJINAGAR','R.ROSHANBEG','SHIVAJINAGAR','FARIDA',92
'PRESCHOOL','BANGALORE','BANGALORE STATE','YASHWANTHPURA',30508,'KAMALA NAGAR 2 BASAVANA DEVASTHANA',,'BANGALORE CENTRAL','P C MOHAN','MAHALAKSHMI LAYOUT','N L NARENDRABABU','VRUSHABAVATHI NAGARA','V RANGANNA',102
'PRESCHOOL','BANGALORE','BANGALORE STATE','YASHWANTHPURA',30510,'KAMALANAGARA 1 SLUM',,'BANGALORE CENTRAL','P C MOHAN','MAHALAKSHMI LAYOUT','N L NARENDRABABU','VRUSHABAVATHI NAGARA','V RANGANNA',102
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KUVEMPUNAGAR 4TH CIRCLE',30641,'NAGAVARAPALYA',,'BANGALORE CENTRAL','P C MOHAN','GOVINDARAJ NAGARA','PRIYAKRISHNA','GOVINDRAJNAGARA','MOHANKUMAR',104
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KUVEMPUNAGAR 4TH CIRCLE',30778,'NARAYANARAO COLONY',,'BANGALORE CENTRAL','P C MOHAN','GOVINDARAJ NAGARA','PRIYAKRISHNA','GOVINDRAJNAGARA','MOHANKUMAR',104
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KUVEMPUNAGAR 4TH CIRCLE',31057,'GOVINDARAJANAGARA',,'BANGALORE CENTRAL','P C MOHAN','GOVINDARAJ NAGARA','PRIYAKRISHNA','GOVINDRAJNAGARA','MOHANKUMAR',104
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KUVEMPUNAGAR 4TH CIRCLE',31061,'GOVINDARAJANAGARA2',,'BANGALORE CENTRAL','P C MOHAN','GOVINDARAJ NAGARA','PRIYAKRISHNA','GOVINDRAJNAGARA','MOHANKUMAR',104
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KUVEMPUNAGAR 4TH CIRCLE',33998,'AGRAHARADASARAHALLI',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','AGRAHARA DASARAHALLI','ROOPA DEVI',105
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','TRIVENI 5TH CIRCLE',30449,'MARIYAPPANA PALYA',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','AGRAHARA DASARAHALLI','ROOPA DEVI',105
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','TRIVENI 5TH CIRCLE',34075,'BINNIPETE',,'BANGALORE SOUTH','ANANTHKUMAR','MAHALAKSHMI LAYOUT','N L NARENDRABABU','AGRAHARA DASARAHALLI','ROOPA DEVI',105
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','TRIVENI 5TH CIRCLE',34147,'J C NAGAR 4 TO BE DELETE',,'BANGALORE SOUTH','ANANTHKUMAR','MAHALAKSHMI LAYOUT','N L NARENDRABABU','AGRAHARA DASARAHALLI','ROOPA DEVI',105
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','TRIVENI 5TH CIRCLE',35112,'KAMALANAGAR 5',,'BANGALORE SOUTH','ANANTHKUMAR','MAHALAKSHMI LAYOUT','N L NARENDRABABU','AGRAHARA DASARAHALLI','ROOPA DEVI',105
