'HEIRARCHY','DISTRICT','PROJ/BLOCK','CIRCLE/CLUSTER','ID','SCHOOLNAME','CATEGORY_DESC','MP CONST.','MP NAME','MLA CONST.','MLA NAME','WARD','CORPORATOR',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KITHURU RANI CHANNAMMA 3RD CIRCLE',30424,'CHOLUR PALYA','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','VIJAYA NAGAR','KRISHNAPPA',123,'RAVINDRA',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34060,'MOODALAPALYA - 3','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',124,'SHANTHA KUMARI',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34058,'MOODALAPALYA - 2','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',124,'SHANTHA KUMARI',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34062,'MOODALAPALYA - 4','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',124,'SHANTHA KUMARI',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34055,'MOODALAPALYA - 1','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',124,'SHANTHA KUMARI',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',34096,'CHOLURPALAYA','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','VIJAYA NAGAR','KRISHNAPPA',123,'RAVINDRA',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',34036,'BYRAVESHWARA NAGARA','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',127,'SHANTHA KUMARI',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',35485,'GANGANDANA HALLI','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','VIJAYA NAGAR','KRISHNAPPA',132,'K.DODDANA',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30434,'CHOLUR PALYA 3','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','VIJAYA NAGAR','KRISHNAPPA',123,'RAVINDRA',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',35478,'KALYAN NAGAR','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',127,'SHANTHA KUMARI',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30439,'CHOLUR PALYA 4','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','VIJAYA NAGAR','KRISHNAPPA',123,'RAVINDRA',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',34098,'CHOLURPALAYA 1','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','VIJAYA NAGAR','KRISHNAPPA',123,'RAVINDRA',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',34044,'BAIRAVESHVARANAGARA','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','GOVINRAJ NAGAR','PRIYA KRISHNA',127,'SHANTH KUMARI',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',34097,'GANGUNDANAHALLI','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','VIJAYA NAGAR','KRISHNAPPA',138,'UMESH REDDY',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30425,'CHOLUR PALYA 1','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','VIJAYA NAGAR','KRISHNAPPA',123,'RAVINDRA',
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',30429,'CHOLUR PALYA 2','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','VIJAYA NAGAR','KRISHNAPPA',123,'RAVINDRA',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',35342,'D J HALLI I','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','PULIKESH NAGAR','PRASANA KUMAR',47,'SAMPATH RAJ',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',31282,'AL-HI-LAL-NAGAR','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',24,'GOVIND RAJ',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',31294,'SAMADHANANAGARA','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',23,'IRSHAD BEGUM',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33884,'HENNURU','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',24,'GOVIND RAJ',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33938,'BASAVANAGAR','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','PULIKESH NAGAR','PRASANA KUMAR',31,'NOOR JAN SHARIEFF',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33901,'B M SLUM','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','PULIKESH NAGAR','PRASANA KUMAR',31,'NOOR JAN SHARIEFF',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',30586,'KACHARKANAHALLI','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',29,'PADMANAB REDDY',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',31439,'VEERANAPALYA','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',23,'IRSHAD BEGUM',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',31507,'LINGARAJAPURA B BLOCK','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',49,'LAVANYA GANESH REDDY',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',30993,'SANDHYAVANAGARA','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','PULIKESH NAGAR','PRASANA KUMAR',47,'PRIYA SHAILA',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',30999,'CHOLANAYAKANAHALLI 2','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','HEBBALA','KATTA SUBRAMANI NAIDU',21,'JAYAPPA REDDY',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33933,'SIDHARTHANAGAR','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',23,'IRSHAD BEGUM',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33888,'BAIRANAKUNTE - 2','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',24,'GOVIND RAJ',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',31001,'HENNURU  BANDE','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',24,'GOVIND RAJ',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KADUGONDANAHALLI',33887,'BRUNDAVANA NAGAR','ANGANWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K.J.GOERGE',24,'GOVIND RAJ',
