"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC","MP Const.","MP Name","MLA Const.","MLA Name","Ward","WARD NO","Corporator"
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Attibele",33607,"AREHALLY","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Attibele",31489,"KAMBALEPURA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Bhannerghatta",30378,"BISMILLANAGAR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","chandapura",29587,"KAGGALIPURA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","chandapura",33663,"IGGALURU","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Dommasanddra",34030,"DOMMASANDRA HB","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Haragadde",35477,"NAYANAHALLI 1","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Haragadde",33986,"BOMMANDAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Hebbagodi",31523,"CHITHALA MADIARALA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Hebbagodi",33640,"HUSKUR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Hennagara",30817,"KONAMADIVALA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Indlavadi",29586,"CHIKKAHOSAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Indlavadi",35469,"THIMMANAYAKA HALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Indlavadi",35489,"THIMMAYYANA DODDI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Jigani",31514,"VADDARAPALYA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","kasaba",35472,"SAMANDUR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",30902,"KULUMEPALYA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",31513,"VADERA MANCHANAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",30941,"MADHAPPANADODDI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",33947,"KALLUBALU 2ND","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",33682,"KANNANAYAKANAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",33946,"KONASANDRA DELETE","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",30910,"BYATARAYANADODDI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",33675,"KARIYAPPANA HALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",33935,"MARASUR GATE TO BE DELETE","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",33590,"MARASURUXXX","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",33928,"BHAKTIPUR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",33930,"KARPOOR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",33932,"SIPAIGALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",29691,"BIDARGERE","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",33931,"NAGARTHAPETE TO BE DELETE","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",29641,"TO BE DELETED RECHMANAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",29585,"KARPUR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Sarjapura",33709,"SULTHANPALYA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Sarjapura",31308,"THEJESHVINI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Sarjapura",33453,"SARJAPURA 1","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Gangondanahalli",30411,"AHMED NAGAR","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",31458,"ANANDA PURAM 5","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",30440,"SIDDARATHNAGAR","Independent  Balwadi",,,,,,,
