"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC","MP Const.","MP Name","MLA Const.","MLA Name","WARD /GRAMA PANCHAYATHI","CORPORATOR/PRESNT of panchayithi"
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Attibele",33607,"AREHALLY","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Attibele",31489,"KAMBALEPURA","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Bhannerghatta",30378,"BISMILLANAGAR","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","chandapura",29587,"KAGGALIPURA","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","chandapura",33663,"IGGALURU","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Dommasanddra",34030,"DOMMASANDRA HB","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Haragadde",35477,"NAYANAHALLI 1","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Haragadde",33986,"BOMMANDAHALLI","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Hebbagodi",31523,"CHITHALA MADIARALA","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Hebbagodi",33640,"HUSKUR","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Hennagara",30817,"KONAMADIVALA","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Indlavadi",29586,"CHIKKAHOSAHALLI","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Indlavadi",35469,"THIMMANAYAKA HALLI","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Indlavadi",35489,"THIMMAYYANA DODDI","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Jigani",31514,"VADDARAPALYA","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","kasaba",35472,"SAMANDUR","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",30902,"KULUMEPALYA","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",31513,"VADERA MANCHANAHALLI","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",30941,"MADHAPPANADODDI","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",33947,"KALLUBALU 2ND","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",33682,"KANNANAYAKANAHALLI","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",33946,"KONASANDRA DELETE","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",30910,"BYATARAYANADODDI","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Mahantalingapura",33675,"KARIYAPPANA HALLI","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",33935,"MARASUR GATE TO BE DELETE","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",33590,"MARASURUXXX","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",33928,"BHAKTIPUR","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",33930,"KARPOOR","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",33932,"SIPAIGALLI","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",29691,"BIDARGERE","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",33931,"NAGARTHAPETE TO BE DELETE","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",29641,"TO BE DELETED RECHMANAHALLI","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Marasur",29585,"KARPUR","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Sarjapura",33709,"SULTHANPALYA","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Sarjapura",31308,"THEJESHVINI","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","ANEKAL TALUK  ","Sarjapura",33453,"SARJAPURA 1","Anganwadi","ANEKAL TALUK  ",,"Kumarswamy"," A NARAYANASWAMY                               ",,
"PRESCHOOL","Bangalore","Bangalore central ","Gangondanahalli",30411,"AHMED NAGAR","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",31458,"ANANDA PURAM 5","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",30440,"SIDDARATHNAGAR","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",31432,"GORIPALYA 2ND","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",30466,"GORIPALYA SOUTH","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",31384,"GORI PALYA NORTH","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",31467,"TIMBERYARD SLUM","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",30463,"GORIPALYA (PADARAYANAPURA)","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",30619,"OLD PENSION MOHALLA","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",34073,"BINNIPETE(EX)","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",30473,"GORIPALYA 6","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",31426,"GIRIPURA 1","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Kithuru Rani Channamma 3rd Circle",31397,"VELUMURUGA PURA","Anganwadi",,,,,,
