"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC"
'SCHOOL', 'BANGLORE  ', 'SOUTH-3', 'BYARSANDRA', 32148, 'GULPS SR NAGAR', 'Lower Primary'
'SCHOOL', 'BANGLORE  ', 'SOUTH-3', 'GOTTIGERE', 32356, 'GKHPS NS PALYA', 'Upper Primary'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Bhannerghatta', 30378, 'BISMILLANAGAR', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Haragadde', 33986, 'BOMMANDAHALLI', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Haragadde', 35477, 'NAYANAHALLI 1', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Hebbagodi', 31523, 'CHITHALA MADIARALA', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Hebbagodi', 33640, 'HUSKUR', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Indlavadi', 29586, 'CHIKKAHOSAHALLI', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Indlavadi', 35469, 'THIMMANAYAKA HALLI', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Indlavadi', 35489, 'THIMMAYYANA DODDI', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Jigani', 31514, 'VADDARAPALYA', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Mahantalingapura', 30902, 'KULUMEPALYA', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Mahantalingapura', 30941, 'MADHAPPANADODDI', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Mahantalingapura', 31513, 'VADERA MANCHANAHALLI', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Mahantalingapura', 33675, 'KARIYAPPANA HALLI', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Mahantalingapura', 33682, 'KANNANAYAKANAHALLI', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Marasur', 29585, 'KARPUR', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Marasur', 33931, 'NAGARTHAPETE TO BE DELETE', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'ANEKAL TALUK  ', 'Marasur', 33932, 'SIPAIGALLI', 'Anganwadi'
