'TYPE','DISTRICT','BLK/PROJ','CLUSTER/CIRCLE','SID','S-NAME','MLA Constituency','MLA'
'SCHOOL','BANGLORE  ','NORTH-3','FRAZER TOWN',33869,'GKHPS DODDABANASWADI','C.V Raman Nagar','S.R .Ragu'
'SCHOOL','BANGLORE  ','NORTH-3','KAVAL BYRASANDRA',35345,'GULPS IDGAH MOHALLA','Pulakeshinagar','B. PRASANNA KUMAR'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Attibele',31489,'KAMBALEPURA','Anekal','A Narayanaswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Attibele',33607,'AREHALLY','Anekal','A Narayanaswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Dommasanddra',34030,'DOMMASANDRA HB','Anekal','A Narayanaswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Hennagara',30817,'KONAMADIVALA','Anekal','A Narayanaswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Marasur',29641,'TO BE DELETED RECHMANAHALLI','Anekal','A Narayanaswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Marasur',29691,'BIDARGERE','Anekal','A Narayanaswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Marasur',33928,'BHAKTIPUR','Anekal','A Narayanaswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Marasur',33930,'KARPOOR','Anekal','A Narayanaswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Sarjapura',33453,'SARJAPURA 1','Anekal','A Narayanaswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','Sarjapura',33709,'SULTHANPALYA','Anekal','A Narayanaswamy'
'PRESCHOOL','Bangalore','ANEKAL TALUK  ','chandapura',33663,'IGGALURU','Anekal','A Narayanaswamy'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Bettahalasuru',33809,'HUNASEMARANA HALLI 2','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',30718,'SONNENAHALLI','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',30725,'KARLAPURA','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',30730,'HAROHALLIPALYA','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',30732,'NAGADASANAHALLI','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',30857,'RAMAGONDANA HALLI','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',30861,'ANANTHAPURA','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',31213,'HANIYURU','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',31219,'DANDANAPALYA','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',31250,'BYATHA','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',31257,'SINGANAYAKANAHALLI 1','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',31273,'MYLAPANAHALLI','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',31279,'CHALLAHALLI','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',33812,'MADAPPANA HALLI','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',33821,'KAKOLU','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',33876,'NAGENA HALLI','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',33878,'HAROHALLI 1','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',34048,'KAKOLU COLONY','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',34053,'DIBBURU','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',34071,'SONNENAHALLI 1','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Sonnenahali',34072,'SINGANAYAKANAHALLI 2','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Yalahanka',30860,'YELAHANKA  5','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','BANGALORE NORTH (Yelahanka)','Yalahanka',30869,'CHIKKABOMMASANDRA','Yelahanka','S.R.VISHWANATH'
'PRESCHOOL','Bangalore','Bangalore south(Banashankari)','Begure',30457,'HOSA ROAD 1','Bangalore South','M .Krihnappa'
