SCHOOLID;WARD_ID ;TYPE;DIST;BLK;CLUS;NAME;KLPID;GEO_WARD;STATUS;CORRECT_WARD
32305;20;1;bangalore;north-3;j c nagar;GUHPS GANGANAGAR;32305;34;found;20
32313;20;1;bangalore;north-3;j c nagar;GKMPS GANGANAGARA;32313;34;found;20
30991;34;2;bangalore;sumangali seva ashrama;murphy town;GUDADHAHALLI-1;30991;22;found;22
30995;34;2;bangalore;sumangali seva ashrama;murphy town;GUDADHAHALLI-2;30995;22;found;22
;;2;BANGALORE;SUMANGALI SEVA ASHRAMA;MURPHY TOWN;GOVINDAPURA 2;34132;;;23
;;2;BANGALORE;SUMANGALI SEVA ASHRAMA;MURPHY TOWN;GOVINDAPURA 1;34128;;;23
32509;29;1;bangalore;north-3;banaswadi;GULPS SAITPALYA;32509;49;found;24
33154;29;1;bangalore;north-3;kaval byrasandra;GKHPS KARIYANPALYA;33154;49;found;24
;;2;BANGALORE;SUMANGALI SEVA ASHRAMA;SULTANPALYA;YASIN NAGARA;34119;;;24
31420;26;2;bangalore;sumangali seva ashrama;dodda banaswadi;BHOVI COLONY;31420;51;found;26
32213;50;1;bangalore;north-3;frazer town;GKLPS PILLAREDDY NAGAR;32213;27;found;27
32504;28;1;bangalore;north-3;banaswadi;GKHPS SUBAYANAPALYA;32504;27;found;28
33155;30;1;bangalore;north-3;kaval byrasandra;GKHPS KG HALLI;33155;31;found;30
33159;30;1;bangalore;north-3;kaval byrasandra;GULPS KG HALLI;33159;23;found;30
33161;30;1;bangalore;north-3;kaval byrasandra;GUMPS KG HALLI;33161;31;found;30
33147;31;1;bangalore;north-3;kaval byrasandra;GUHPS MUSLIM COLONY;33147;48;found;31
33148;23;1;bangalore;north-3;kaval byrasandra;GUHPS SHAMPURA;33148;22;found;31
33152;23;1;bangalore;north-3;kaval byrasandra;GKLPS SHAMPURA;33152;32;found;31
;;2;BANGALORE;SUMANGALI SEVA ASHRAMA;SULTANPALYA;CHAMUNDI NAGAR I;35487;;;33
;;2;BANGALORE;SUMANGALI SEVA ASHRAMA;SULTANPALYA;CHAMUNDI NAGAR;34116;;;33
32314;34;1;bangalore;north-3;j c nagar;GKMPS N S LINE METTADAHALLI;32314;46;found;34
32316;34;1;bangalore;north-3;j c nagar;GTHPS NS LANE;32316;46;found;34
32157;39;1;bangalore;north-1;chikkabidarakallu;GKMPS NELAGADARANAHALLI;32157;41;found;39
;;2;BANGALORE;SUMANGALI SEVA ASHRAMA;SULTANPALYA;REHMATH NAGAR;34144;;;43
30971;47;2;bangalore;sumangali seva ashrama;sultanpalya;MODI ROAD;30971;61;found;47
32068;47;1;bangalore;north-3;d.j. halli;GUMPS ZIA STREET;32068;61;found;47
32069;47;1;bangalore;north-3;d.j. halli;GULPS MODI ROAD;32069;61;found;47
32070;47;1;bangalore;north-3;d.j. halli;GUMPS GUAVA GARDEN;32070;61;found;47
32071;47;1;bangalore;north-3;d.j. halli;GKMPS DJ HALLI;32071;48;found;47
32072;48;1;bangalore;north-3;d.j. halli;GTHPS PERIYAR NAGAR;32072;61;found;47
34043;47;2;bangalore;sumangali seva ashrama;sultanpalya;GUAVA GARDEN AREA;34043;61;found;47
;;2;BANGALORE;SUMANGALI SEVA ASHRAMA;SULTANPALYA;BANGAR GIRI;34142;;;47
;;2;BANGALORE;SUMANGALI SEVA ASHRAMA;SULTANPALYA;DADDANAGAR;30363;;;47
;;2;BANGALORE;SUMANGALI SEVA ASHRAMA;SULTANPALYA;A K COLONY;34120;;;47
34021;48;2;bangalore;sumangali seva ashrama;dodda banaswadi;PERIYAR NAGAR-I;34021;61;found;48
32506;49;1;bangalore;north-3;banaswadi;GKHPS RAMASWAMY PALYA;32506;28;found;49
32207;50;1;bangalore;north-3;frazer town;GKHPS HALEBYAPPANAHALLI;32207;79;found;50
30765;51;2;bangalore;sumangali seva ashrama;dodda banaswadi;LAKSHMANMURTHI NAGAR;30765;78;found;51
34024;51;2;bangalore;sumangali seva ashrama;dodda banaswadi;VIJANAPUR-5;34024;56;found;51
32688;59;1;bangalore;north-3;pottery town;GKHPS  JAI BHARTHA NAGAR;32688;27;found;59
32690;50;1;bangalore;north-3;pottery town;GKLPS NAGAYANPALYA;32690;59;found;59
32692;59;1;bangalore;north-3;pottery town;GTHPS JAIBHARATHNAGAR;32692;27;found;59
32075;60;1;bangalore;north-3;d.j. halli;GUMPS TANNERY ROAD;32075;61;found;60
32311;62;1;bangalore;north-3;j c nagar;GKHPS MAJOR RAMASWAMY PALYA;32311;63;found;62
32315;62;1;bangalore;north-3;j c nagar;GTELPS MRS PALYA;32315;63;found;62
32104;92;1;bangalore;bmp-1;bmpcluster;CPS TASKER TOWN;32104;110;found;63
32609;92;1;bangalore;north-3;oph road;GUHPS BLACK PALLY;32609;63;found;63
33143;92;1;bangalore;north-3;vasanthnagar;GTLPS HOSPITAL ROAD;33143;110;found;63
33145;92;1;bangalore;north-3;vasanthnagar;GUHPS VKO SHIVAJINAGAR;33145;63;found;63
;;1;BANGALORE;BMP-1;BMPCLUSTER;CPS BROADWAY HAFIZIA;32095;63;;63
