'TYPE','DISTRICT','BLOCK','CLUSTER','ID','SCHOOLNAME','Ward  Name or Gram Panchayath','Corporator  or Presedent'
'SCHOOL','BANGLORE  ','ANEKAL','ANEKAL URDU',33388,'GUHPS JIGANI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','ANEKAL URDU',33392,'GUHPS ATTIBELE','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32317,'GKHPS BANNERUGHATTA','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32318,'GKHPS BEGIHALLI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32319,'GKHPS BILWARDHANAHALLI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32320,'GKHPS BYATARAYANA DODDI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32321,'GKHPS KANNA NAYAKANA AGRAHARA','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32322,'GKHPS MALENALLASANDRA','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32323,'GKHPS MANTAPA','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32324,'GKLPS RAMASANDRA (BANNERUGHATTA)','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32325,'GKHPS SAKALAWARA','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32326,'GKLPS AMRUTHNAGAR','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32327,'GKLPS BILWARDHANAHALLI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32328,'GKLPS CHETHEKERE PALYA(CK PALYA)','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32329,'GKLPS CHINNAYYANAPALYA (BANNERUGHATA)','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32330,'GKLPS HULLAHALLI','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32331,'GKLPS KALLAKERE','GP',
'SCHOOL','BANGLORE  ','ANEKAL','BANNERUGHATTA',32332,'GKLPS LAKSHMIPURA (BANNERUGHATTA)','GP',
