id|schoolname|dy|mon|yr|indent_onetofive|indent_sixtoseven|indent_eight|indent_ninetoten|attend_onetofive|attend_sixtoseven|attend_eight|attend_ninetoten
33311|GKHPS KETHAMARANAHALLI|1|June|2012|20|30|||35|23||
33311|GKHPS KETHAMARANAHALLI|2|June|2012|20|30|||47|22||
33311|GKHPS KETHAMARANAHALLI|4|June|2012|20|30|||46|21||
33311|GKHPS KETHAMARANAHALLI|5|June|2012|20|30|||48|20||
33311|GKHPS KETHAMARANAHALLI|6|June|2012|50|20|||50|40||
33311|GKHPS KETHAMARANAHALLI|7|June|2012|50|20|||50|21||
33311|GKHPS KETHAMARANAHALLI|8|June|2012|50|20|||50|20||
33311|GKHPS KETHAMARANAHALLI|9|June|2012|50|20|||51|18||
33311|GKHPS KETHAMARANAHALLI|11|June|2012|50|20|||50|18||
33311|GKHPS KETHAMARANAHALLI|12|June|2012|50|20|||51|19||
33311|GKHPS KETHAMARANAHALLI|13|June|2012|50|20|||50|20||
33311|GKHPS KETHAMARANAHALLI|14|June|2012|50|20|||50|20||
33311|GKHPS KETHAMARANAHALLI|15|June|2012|50|30|||52|18||
33311|GKHPS KETHAMARANAHALLI|16|June|2012|50|30|||50|19||
33311|GKHPS KETHAMARANAHALLI|18|June|2012|50|30|||52|18||
33311|GKHPS KETHAMARANAHALLI|19|June|2012|50|30|||50|25||
33311|GKHPS KETHAMARANAHALLI|20|June|2012|50|30|||60|18||
33311|GKHPS KETHAMARANAHALLI|21|June|2012|50|30|||61|19||
33311|GKHPS KETHAMARANAHALLI|22|June|2012|50|30|||60|20||
33311|GKHPS KETHAMARANAHALLI|23|June|2012|50|30|||60|20||
33311|GKHPS KETHAMARANAHALLI|25|June|2012|50|30|||61|25||
33311|GKHPS KETHAMARANAHALLI|26|June|2012|50|30|||60|25||
33311|GKHPS KETHAMARANAHALLI|27|June|2012|80|30|||60|25||
33311|GKHPS KETHAMARANAHALLI|28|June|2012|50|30|||60|24||
33311|GKHPS KETHAMARANAHALLI|29|June|2012|50|30|||60|25||
32363|GKGHPS SRIRAMPURA|1|June|2012|30|20|||40|44||
32363|GKGHPS SRIRAMPURA|2|June|2012|28|20|||40|44||
32363|GKGHPS SRIRAMPURA|4|June|2012|40|30|||45|44||
32363|GKGHPS SRIRAMPURA|5|June|2012|40|30|||48|43||
32363|GKGHPS SRIRAMPURA|6|June|2012|50|40|||41|43||
32363|GKGHPS SRIRAMPURA|7|June|2012|40|40|||46|39||
32363|GKGHPS SRIRAMPURA|8|June|2012|40|40|||46|39||
32363|GKGHPS SRIRAMPURA|9|June|2012|40|40|||45|38||
32363|GKGHPS SRIRAMPURA|11|June|2012|40|40|||45|44||
32363|GKGHPS SRIRAMPURA|12|June|2012|40|40|||48|42||
32363|GKGHPS SRIRAMPURA|13|June|2012|40|40|||46|42||
32363|GKGHPS SRIRAMPURA|14|June|2012|40|40|||50|44||
32363|GKGHPS SRIRAMPURA|15|June|2012|40|40|||50|45||
32363|GKGHPS SRIRAMPURA|18|June|2012|40|40|||43|42||
32363|GKGHPS SRIRAMPURA|19|June|2012|40|40|||43|42||
32363|GKGHPS SRIRAMPURA|20|June|2012|40|40|||30|43||
32363|GKGHPS SRIRAMPURA|21|June|2012|40|40|||56|47||
32363|GKGHPS SRIRAMPURA|22|June|2012|40|40|||53|47||
32363|GKGHPS SRIRAMPURA|23|June|2012|40|40|||53|45||
32363|GKGHPS SRIRAMPURA|25|June|2012|40|40|||53|46||
32363|GKGHPS SRIRAMPURA|26|June|2012|40|40|||53|45||
32363|GKGHPS SRIRAMPURA|27|June|2012|40|40|||50|47||
32363|GKGHPS SRIRAMPURA|28|June|2012|40|40|||50|47||
32363|GKGHPS SRIRAMPURA|29|June|2012|40|40|||51|48||
32363|GKGHPS SRIRAMPURA|30|June|2012|40|40|||51|48||
32362|GKBHPS SRIRAMPURA|1|June|2012|10|18||||40||
32362|GKBHPS SRIRAMPURA|2|June|2012|10|19||||46||
32362|GKBHPS SRIRAMPURA|4|June|2012|10|32||||53||
32362|GKBHPS SRIRAMPURA|5|June|2012|10|32||||59||
32362|GKBHPS SRIRAMPURA|6|June|2012|15|45||||58||
32362|GKBHPS SRIRAMPURA|7|June|2012|22|65|||25|59||
32362|GKBHPS SRIRAMPURA|8|June|2012|22|65|||25|65||
32362|GKBHPS SRIRAMPURA|9|June|2012|22|65|||19|27||
32362|GKBHPS SRIRAMPURA|11|June|2012|22|65|||28|64||
32362|GKBHPS SRIRAMPURA|12|June|2012|22|65|||28|64||
32362|GKBHPS SRIRAMPURA|13|June|2012|22|65|||28|64||
32362|GKBHPS SRIRAMPURA|14|June|2012|22|65|||28|64||
32362|GKBHPS SRIRAMPURA|15|June|2012|22|65|||28|64||
32362|GKBHPS SRIRAMPURA|16|June|2012|22|65|||30|59||
32362|GKBHPS SRIRAMPURA|18|June|2012|22|65|||30|59||
32362|GKBHPS SRIRAMPURA|19|June|2012|22|65|||31|59||
32362|GKBHPS SRIRAMPURA|20|June|2012|22|65|||31|61||
32362|GKBHPS SRIRAMPURA|21|June|2012|22|65|||31|63||
32362|GKBHPS SRIRAMPURA|22|June|2012|22|65|||29|61||
32362|GKBHPS SRIRAMPURA|23|June|2012|22|65|||28|58||
32362|GKBHPS SRIRAMPURA|25|June|2012|20|60|||29|58||
32362|GKBHPS SRIRAMPURA|26|June|2012|20|60|||30|58||
32362|GKBHPS SRIRAMPURA|27|June|2012|20|60|||28|58||
32362|GKBHPS SRIRAMPURA|28|June|2012|20|60|||28|58||
32362|GKBHPS SRIRAMPURA|29|June|2012|27|60|||33|59||
32362|GKBHPS SRIRAMPURA|30|June|2012|27|60||||||
32365|GTLPS Q BLOCK|1|June|2012|20||||20|||
32365|GTLPS Q BLOCK|2|June|2012|20||||20|||
32365|GTLPS Q BLOCK|4|June|2012|20||||20|||
32365|GTLPS Q BLOCK|5|June|2012|20||||18|||
32365|GTLPS Q BLOCK|6|June|2012|20||||20|||
32365|GTLPS Q BLOCK|7|June|2012|20||||20|||
32365|GTLPS Q BLOCK|8|June|2012|20||||20|||
32365|GTLPS Q BLOCK|9|June|2012|20||||20|||
32365|GTLPS Q BLOCK|11|June|2012|20||||20|||
32365|GTLPS Q BLOCK|12|June|2012|20||||20|||
32365|GTLPS Q BLOCK|13|June|2012|20||||20|||
32365|GTLPS Q BLOCK|14|June|2012|20||||20|||
32365|GTLPS Q BLOCK|15|June|2012|20||||20|||
32365|GTLPS Q BLOCK|18|June|2012|16||||16|||
32365|GTLPS Q BLOCK|19|June|2012|20||||20|||
32365|GTLPS Q BLOCK|20|June|2012|20||||20|||
32365|GTLPS Q BLOCK|21|June|2012|20||||20|||
32365|GTLPS Q BLOCK|22|June|2012|20||||20|||
32365|GTLPS Q BLOCK|23|June|2012|20||||20|||
