district|blk|cluster|school_name|klpid|klp_girls_count|klp_boys_count|dise_girls_count|dise_boys_count
bangalore|anekal|anekal|GKHPS  ANEKAL|32083|176|189|82|102
bangalore|anekal|anekal|GKHPS DEVANGAPET|32076|72|59|112|79
bangalore|anekal|anekal|GKHPS DK BAGILU|32077|93|103|78|72
bangalore|anekal|anekal|GKHPS OLD ANEKAL|32078|101|105|82|102
bangalore|anekal|anekal|GKLPS BAHADURPURA|32079|14|6|15|19
bangalore|anekal|anekal|GKLPS CHOODENAHALLI|32089|38|15|36|26
bangalore|anekal|anekal|GKLPS KALANAYAKANAHALLI|32090|8|7|4|5
bangalore|anekal|anekal|GKLPS KEMPUDOMMASANDRA|32091|6|9|7|9
bangalore|anekal|anekal|GKLPS MENASIGANAHALLI|32092|17|14|11|12
bangalore|anekal|anekal|GKLPS NARAYANA PURA|35470|13|18|12|21
bangalore|anekal|anekal|GKLPS PUMPHOUSE|32080|16|10|15|14
bangalore|anekal|anekal|GKLPS SINGASANDRA|32084|13|8|9|6
bangalore|anekal|anekal|GKLPS SOLUR|32085|6|4|4|2
bangalore|anekal|anekal|GKLPS SUDHAMANAGAR|32081|25|18|29|36
bangalore|anekal|anekal|GKLPS SUNNAWARA|32086|14|13|17|13
bangalore|anekal|anekal|GKLPS TELAGARAHALLI|32087|13|10|16|14
bangalore|anekal|anekal|GKNMPS ANEKAL|32082|170|192|138|208
bangalore|anekal|anekal|GMPS VANAKANAHALLI|32088|86|98|73|79
bangalore|anekal|anekal urdu|GUHPS ADIGARAKALLAHALLI|33390|87|61|79|54
bangalore|anekal|anekal urdu|GUHPS ANEKAL|33384|65|21|49|32
bangalore|anekal|anekal urdu|GUHPS ATTIBELE|33392|54|25|66|41
bangalore|anekal|anekal urdu|GUHPS DOMMASANDRA|33389|33|31|31|31
bangalore|anekal|anekal urdu|GUHPS GOWRENAHALLI|33386|111|66|113|72
bangalore|anekal|anekal urdu|GUHPS JIGANI|33388|15|11|16|11
bangalore|anekal|anekal urdu|GUHPS SARJAPURA|33391|62|51|56|41
bangalore|anekal|anekal urdu|GUHPS SHIKARIPALYA|33387|157|101|123|83
bangalore|anekal|anekal urdu|GULPS BEDARAPETE|33385|22|13|15|20
bangalore|anekal|attibele|GKHPS  DASANAPURA|32218|57|52|66|73
bangalore|anekal|attibele|GKHPS ATTIBELE(GIRLS)|32216|102|73|96|65
bangalore|anekal|attibele|GKHPS BALLUR|32217|88|100|113|106
bangalore|anekal|attibele|GKHPS MANCHANAHALLI|32219|58|51|62|67
bangalore|anekal|attibele|GKLPS AREHALLI (ATTIBELE)|32221|27|16|16|10
bangalore|anekal|attibele|GKLPS BHAKTHIPURA|32222|8|4|3|2
bangalore|anekal|attibele|GKLPS HALEHALLI (ATTIBELE)|32223|28|18|12|13
bangalore|anekal|attibele|GKLPS HAROHALLI (ATTIBELE)|32224|25|11|17|10
bangalore|anekal|attibele|GKLPS KAMBALIPURA|32225|14|11|15|21
bangalore|anekal|attibele|GKLPS KODALIPURA|32226|13|19|5|6
bangalore|anekal|attibele|GKLPS M MEDAHALLI|32227|12|13|15|13
bangalore|anekal|attibele|GKLPS MUTHASANDRA|32228|10|11|4|10
bangalore|anekal|attibele|GKMBS ATTIBELE|32229|99|126|122|107
bangalore|anekal|attibele|GKMPS MAYASANDRA|32220|111|94|119|132
bangalore|anekal|bannerughatta|GKHPS BANNERUGHATTA|32317|177|177|159|169
bangalore|anekal|bannerughatta|GKHPS BEGIHALLI|32318|51|54|69|65
bangalore|anekal|bannerughatta|GKHPS BILWARDHANAHALLI|32319|102|107|109|116
bangalore|anekal|bannerughatta|GKHPS BYATARAYANA DODDI|32320|14|27|22|11
bangalore|anekal|bannerughatta|GKHPS KANNA NAYAKANA AGRAHARA|32321|56|46|22|21
bangalore|anekal|bannerughatta|GKHPS MALENALLASANDRA|32322|17|21|28|34
bangalore|anekal|bannerughatta|GKHPS MANTAPA|32323|124|93|94|68
bangalore|anekal|bannerughatta|GKHPS SAKALAWARA|32325|71|65|72|54
bangalore|anekal|bannerughatta|GKLPS AMRUTHNAGAR|32326|18|26|23|26
bangalore|anekal|bannerughatta|GKLPS BILWARDHANAHALLI|32327|43|59|37|42
bangalore|anekal|bannerughatta|GKLPS CHETHEKERE PALYA(CK PALYA)|32328|37|27|34|23
bangalore|anekal|bannerughatta|GKLPS CHINNAYYANAPALYA (BANNERUGHATA)|32329|10|13|10|16
bangalore|anekal|bannerughatta|GKLPS HULLAHALLI|32330|30|25|23|25
bangalore|anekal|bannerughatta|GKLPS KALLAKERE|32331|33|38|28|29
bangalore|anekal|bannerughatta|GKLPS LAKSHMIPURA (BANNERUGHATTA)|32332|37|21|29|18
bangalore|anekal|bannerughatta|GKLPS RAMASANDRA (BANNERUGHATTA)|32324|8|4|11|9
bangalore|anekal|bannerughatta|GKLPS SAMPANGIRAMANAGARA|32333|22|25|18|11
bangalore|anekal|bannerughatta|GKLPS SAMPIGENAHALLI|32334|52|65|54|56
bangalore|anekal|bannerughatta|GKLPS SHILINDRADODDI|32335|16|28|12|20
bangalore|anekal|bannerughatta|GKLPS VAJARAHALLI|32336|27|42|20|36
bangalore|anekal|byagadadenahalli|GKHPS BYAGADADENAHALLI|32400|59|45|59|61
bangalore|anekal|byagadadenahalli|GKHPS MARSUR|32401|114|130|109|122
bangalore|anekal|byagadadenahalli|GKLPS  KOONMADIVALA|32399|3|6|2|6
bangalore|anekal|byagadadenahalli|GKLPS ADESONNATTI|32402|9|12|9|12
bangalore|anekal|byagadadenahalli|GKLPS AVADADENAHALLI|32403|15|14|18|18
bangalore|anekal|byagadadenahalli|GKLPS BANDAPURA (BYAGADADENAHALLI )|32404|11|11|13|11
bangalore|anekal|byagadadenahalli|GKLPS CHIKKAHAGADE|32405|20|21|9|11
bangalore|anekal|byagadadenahalli|GKLPS DODDAHAGADE|32406|15|15|17|13
bangalore|anekal|byagadadenahalli|GKLPS KAMMASANDRA AGRAHARA|32407|18|23|21|18
bangalore|anekal|byagadadenahalli|GKLPS KAVALAHOSAHALLI|32413|32|22|26|22
bangalore|anekal|byagadadenahalli|GKLPS KEMPUVADERAHALLI|32408|12|5|9|2
bangalore|anekal|byagadadenahalli|GKLPS M MADIVALA|32409|23|16|21|19
bangalore|anekal|byagadadenahalli|GKLPS NAGANAYAKANA HALLI|32410|16|21|18|25
bangalore|anekal|byagadadenahalli|GKLPS SHETTIHALLI|32411|14|15|10|20
bangalore|anekal|byagadadenahalli|GKLPS SOPPA HALLI|32412|7|4|0|0
bangalore|anekal|byagadadenahalli|GKLPS T B C KOONMADIVALA|32414|12|16|3|3
bangalore|anekal|byagadadenahalli|GKLPS THATTANAHALLI|32415|29|19|18|15
bangalore|anekal|byagadadenahalli|GKLPS YELLAMMANAPALYA|32416|29|33|15|19
bangalore|anekal|chikkahosahalli|GKHPS CHIKKAHOSALLI|32513|54|60|49|65
bangalore|anekal|chikkahosahalli|GKHPS INDILWADI|32514|89|89|116|117
bangalore|anekal|chikkahosahalli|GKHPS SIDDHANAPALYA|32515|44|43|50|41
bangalore|anekal|chikkahosahalli|GKHPS SIDIHOSAKOTE|32516|54|41|41|30
bangalore|anekal|chikkahosahalli|GKHPS SURAGAJAKKANAHALLI|32517|34|38|23|33
bangalore|anekal|chikkahosahalli|GKHPS THAMMANAYAKANAHALLI|32518|57|54|54|56
bangalore|anekal|chikkahosahalli|GKLPS A MEDAHALLI|32530|16|11|13|19
bangalore|anekal|chikkahosahalli|GKLPS AADURU|32519|22|15|15|16
bangalore|anekal|chikkahosahalli|GKLPS AREHALLI (CHIKKAHOSAHALLI)|32520|14|11|16|10
bangalore|anekal|chikkahosahalli|GKLPS BODARAHALLI|32521|17|15|13|9
bangalore|anekal|chikkahosahalli|GKLPS CHINNAYYANAPALYA (CHIKKAHOSAHALLI)|32522|33|29|10|16
bangalore|anekal|chikkahosahalli|GKLPS CHOODAHALLI (CHIKKAHOSAHALLI)|32523|32|24|32|16
bangalore|anekal|chikkahosahalli|GKLPS GOWRENAHALLI|32524|69|68|65|72
bangalore|anekal|chikkahosahalli|GKLPS HONNAKALASAPURA|32525|16|12|15|13
bangalore|anekal|chikkahosahalli|GKLPS INDILWADIPURA|32526|14|17|13|11
bangalore|anekal|chikkahosahalli|GKLPS KADAJAKKANAHALLI|32527|17|17|20|13
bangalore|anekal|chikkahosahalli|GKLPS KARAKALAGHATTA|32528|17|19|19|16
bangalore|anekal|chikkahosahalli|GKLPS LAKSHMIPURA (CHIKKAHOSAHALLI)|32529|20|23|19|18
bangalore|anekal|chikkahosahalli|GKLPS MYSOORAMMANADODDI|32531|18|16|11|14
bangalore|anekal|chikkahosahalli|GKLPS NAGAYANADODDI|32532|11|13|8|8
bangalore|anekal|chikkahosahalli|GKLPS SONNANAYAKANAPURA|32510|11|10|12|10
bangalore|anekal|chikkahosahalli|GKLPS THIMMASANDRA (CHIKKAHOSAHALLI)|32511|12|11|13|5
bangalore|anekal|chikkahosahalli|GKLPS THIMMAYYANADODDI|32512|3|6|5|7
bangalore|anekal|dommasandra|GKHPS (GIRLS)DOMMASANDRA|32913|132|51|117|94
bangalore|anekal|dommasandra|GKHPS ITTANGURU|32916|39|26|27|16
bangalore|anekal|dommasandra|GKHPS JANATHA COLONY|32914|107|92|84|71
bangalore|anekal|dommasandra|GKHPS TIGALACHOUDANA HALLI|32917|71|55|66|53
bangalore|anekal|dommasandra|GKLPS B HOSAHALLI|32919|23|20|15|16
bangalore|anekal|dommasandra|GKLPS CHAMBENAHALLI|32920|29|16|21|11
bangalore|anekal|dommasandra|GKLPS KADA AGRAHARA|32921|21|17|25|16
bangalore|anekal|dommasandra|GKLPS SOMPURA (DOMMASANDRA)|32922|13|19|15|22
bangalore|anekal|dommasandra|GKLPS V KALLAHALLI|32918|15|29|12|11
bangalore|anekal|dommasandra|GKLPS YAMRE|32923|15|11|22|22
bangalore|anekal|dommasandra|GKMPS DOMMASANDRA|32915|189|206|187|188
bangalore|anekal|haragadde|GKHPS HARAGADDE|32801|127|130|128|153
bangalore|anekal|haragadde|GKHPS LINGAPURA|32802|28|9|28|13
bangalore|anekal|haragadde|GKHPS MADAPATNA|32808|78|55|83|81
bangalore|anekal|haragadde|GKHPS NUSENOOR|32803|76|55|43|48
bangalore|anekal|haragadde|GKLPS BANDENALLASANDRA|32804|17|16|18|15
bangalore|anekal|haragadde|GKLPS DENABANK BADAVANE|32815|26|22|28|21
bangalore|anekal|haragadde|GKLPS DYAVASANDRA|32805|28|27|6|12
bangalore|anekal|haragadde|GKLPS H. MANCHANAHALLI|32809|25|20|15|16
bangalore|anekal|haragadde|GKLPS KUMBARANAHALLI|32807|18|14|19|10
bangalore|anekal|haragadde|GKLPS MARUTHINAGARA(JANATHA COLONY)|32810|14|21|10|15
bangalore|anekal|haragadde|GKLPS N GOLAHALLI (HARAGADDE)|32806|18|12|7|8
bangalore|anekal|haragadde|GKLPS NAYANA HALLI|32811|9|4|10|8
bangalore|anekal|haragadde|GKLPS SITHANAYAKANAHALLI|32812|5|7|9|3
bangalore|anekal|haragadde|GKLPS VADDARAPALYA (HARAGADDE)|32813|54|58|41|49
bangalore|anekal|haragadde|GKMPS JIGANI|32814|331|290|190|168
bangalore|anekal|harappana halli|GKHPS HARAPPANAHALLI|32614|61|82|80|82
bangalore|anekal|harappana halli|GKHPS KALLUBALU|32615|109|106|73|63
bangalore|anekal|harappana halli|GKHPS KONASANDRA|32616|29|37|48|44
bangalore|anekal|harappana halli|GKHPS KRISHNADODDI|32617|39|49|56|64
bangalore|anekal|harappana halli|GKHPS RAGIHALLI|32627|8|23|7|19
bangalore|anekal|harappana halli|GKLPS ANNAYYANADODDI|32618|25|18|13|11
bangalore|anekal|harappana halli|GKLPS BALARBANDDE|32633|13|14|18|18
bangalore|anekal|harappana halli|GKLPS BOMMANDANAHALLI|32619|25|21|24|21
bangalore|anekal|harappana halli|GKLPS BUKKASAGARA|32620|33|40|26|19
